item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00001,Product 1,BrandD,Discontinued,Y,281,153,16.36,22.94
SKU00002,Product 2,BrandE,Active,Y,464,360,10.35,14.98
SKU00003,Product 3,BrandC,Obsolete,Y,201,138,19.84,25.62
SKU00004,Product 4,BrandE,Active,Y,308,160,8.94,13.38
SKU00005,Product 5,BrandE,Active,Y,59,37,8.82,10.78
SKU00006,Product 6,BrandB,Active,Y,400,311,16.58,23.19
SKU00007,Product 7,BrandC,Active,Y,426,309,11.52,15.37
SKU00008,Product 8,BrandC,Obsolete,Y,219,153,9.96,13.29
SKU00009,Product 9,BrandC,Active,Y,414,288,7.68,10.27
SKU00010,Product 10,BrandE,Active,Y,388,183,16.48,21.05
SKU00011,Product 11,BrandD,Active,Y,82,60,16.79,23.75
SKU00012,Product 12,BrandC,Obsolete,Y,44,22,13.5,19.12
SKU00013,Product 13,BrandE,Active,Y,370,286,19.36,24.87
SKU00014,Product 14,BrandB,Active,Y,56,31,9.77,14.17
SKU00015,Product 15,BrandD,Obsolete,Y,604,449,8.29,10.74
SKU00016,Product 16,BrandB,Active,Y,172,87,15.16,21.49
SKU00017,Product 17,BrandD,Active,Y,404,245,16.38,20.25
SKU00018,Product 18,BrandE,Obsolete,Y,187,83,8.37,10.47
SKU00019,Product 19,BrandA,Active,Y,136,90,6.15,7.96
SKU00020,Product 20,BrandD,Active,Y,232,170,17.16,23.65
SKU00021,Product 21,BrandB,Active,Y,191,131,19.65,27.39
SKU00022,Product 22,BrandE,Active,N,186,113,14.67,19.35
SKU00023,Product 23,BrandD,Active,Y,365,153,9.17,11.22
SKU00024,Product 24,BrandA,Active,Y,162,125,19.95,26.18
SKU00025,Product 25,BrandA,Active,N,129,88,18.4,25.88
SKU00026,Product 26,BrandC,Discontinued,Y,180,126,12.7,17.8
SKU00027,Product 27,BrandC,Active,Y,133,95,17.38,21.69
SKU00028,Product 28,BrandB,Active,Y,214,150,17.24,20.73
SKU00029,Product 29,BrandD,Discontinued,Y,308,178,19.02,27.12
SKU00030,Product 30,BrandD,Discontinued,Y,273,189,17.61,21.69
SKU00031,Product 31,BrandC,Active,Y,176,114,14.66,17.95
SKU00032,Product 32,BrandD,Obsolete,Y,119,88,14.14,16.98
SKU00033,Product 33,BrandD,Active,Y,253,182,12.01,15.97
SKU00034,Product 34,BrandA,Active,N,184,77,14.4,19.45
SKU00035,Product 35,BrandC,Active,Y,79,44,16.93,23.55
SKU00036,Product 36,BrandE,Obsolete,Y,78,32,19.54,25.18
SKU00037,Product 37,BrandC,Obsolete,Y,207,91,12.01,16.97
SKU00038,Product 38,BrandE,Active,Y,110,70,13.6,17.01
SKU00039,Product 39,BrandA,Obsolete,Y,82,61,11.67,16.92
SKU00040,Product 40,BrandB,Obsolete,Y,195,87,15.03,20.61
SKU00041,Product 41,BrandD,Obsolete,Y,477,277,14.45,19.87
SKU00042,Product 42,BrandA,Active,Y,69,53,5.27,6.66
SKU00043,Product 43,BrandD,Active,Y,242,176,13.12,16.04
SKU00044,Product 44,BrandB,Active,Y,552,336,6.33,8.48
SKU00045,Product 45,BrandB,Active,Y,115,81,5.4,7.48
SKU00046,Product 46,BrandA,Obsolete,Y,102,62,16.87,20.73
SKU00047,Product 47,BrandB,Discontinued,N,254,118,8.88,13.19
SKU00048,Product 48,BrandE,Active,Y,74,33,10.11,15.11
SKU00049,Product 49,BrandB,Active,Y,93,44,5.96,8.13
SKU00050,Product 50,BrandD,Active,N,30,16,7.69,11.42
SKU00051,Product 51,BrandD,Active,Y,305,236,16.48,20.66
SKU00052,Product 52,BrandD,Discontinued,Y,118,85,12.4,14.97
SKU00053,Product 53,BrandD,Active,Y,364,209,18.21,22.07
SKU00054,Product 54,BrandE,Active,Y,127,76,10.96,15.08
SKU00055,Product 55,BrandC,Active,Y,94,48,9.03,11.0
SKU00056,Product 56,BrandA,Active,Y,781,532,10.21,15.19
SKU00057,Product 57,BrandD,Active,Y,322,232,15.69,19.5
SKU00058,Product 58,BrandB,Active,Y,175,87,13.33,17.21
SKU00059,Product 59,BrandD,Active,N,151,63,18.56,26.85
SKU00060,Product 60,BrandB,Active,Y,279,181,14.03,17.76
SKU00061,Product 61,BrandB,Active,Y,258,161,12.4,15.78
SKU00062,Product 62,BrandD,Active,N,63,35,16.79,23.38
SKU00063,Product 63,BrandE,Active,N,712,468,19.21,24.64
SKU00064,Product 64,BrandB,Active,N,473,293,10.34,13.08
SKU00065,Product 65,BrandB,Active,Y,556,278,8.75,11.17
SKU00066,Product 66,BrandD,Discontinued,Y,204,114,14.24,19.18
SKU00067,Product 67,BrandB,Active,Y,291,166,12.48,18.59
SKU00068,Product 68,BrandB,Obsolete,Y,238,179,19.84,28.76
SKU00069,Product 69,BrandD,Active,N,248,195,11.94,15.35
SKU00070,Product 70,BrandD,Active,Y,196,148,6.11,8.0
SKU00071,Product 71,BrandA,Active,Y,180,124,19.66,26.33
SKU00072,Product 72,BrandE,Active,N,276,175,17.65,26.36
SKU00073,Product 73,BrandE,Obsolete,Y,180,122,7.67,9.6
SKU00074,Product 74,BrandB,Active,Y,282,219,18.57,24.28
SKU00075,Product 75,BrandE,Active,Y,255,127,10.11,14.34
SKU00076,Product 76,BrandB,Active,Y,283,174,10.66,15.87
SKU00077,Product 77,BrandA,Active,N,471,318,18.6,23.19
SKU00078,Product 78,BrandD,Active,Y,103,69,12.95,16.42
SKU00079,Product 79,BrandD,Discontinued,Y,39,20,7.07,8.96
SKU00080,Product 80,BrandD,Active,Y,277,176,10.54,12.71
SKU00081,Product 81,BrandE,Active,Y,331,238,15.83,21.86
SKU00082,Product 82,BrandA,Obsolete,N,10,6,7.61,10.66
SKU00083,Product 83,BrandE,Active,N,50,36,13.85,19.12
SKU00084,Product 84,BrandE,Discontinued,Y,439,239,15.43,18.85
SKU00085,Product 85,BrandA,Active,N,123,95,10.16,12.4
SKU00086,Product 86,BrandA,Active,Y,298,183,15.41,19.46
SKU00087,Product 87,BrandA,Active,Y,299,191,18.26,23.5
SKU00088,Product 88,BrandA,Discontinued,Y,320,132,12.08,17.35
SKU00089,Product 89,BrandD,Active,Y,467,219,10.74,13.4
SKU00090,Product 90,BrandC,Active,Y,155,101,8.77,10.64
SKU00091,Product 91,BrandC,Active,Y,287,163,14.06,18.53
SKU00092,Product 92,BrandA,Active,Y,497,300,18.2,24.11
SKU00093,Product 93,BrandC,Active,Y,72,31,9.87,13.18
SKU00094,Product 94,BrandC,Active,Y,354,260,10.94,15.84
SKU00095,Product 95,BrandA,Active,Y,1015,725,11.1,13.65
SKU00096,Product 96,BrandC,Obsolete,Y,183,87,13.41,18.92
SKU00097,Product 97,BrandE,Obsolete,Y,335,219,8.43,10.97
SKU00098,Product 98,BrandB,Active,Y,403,293,17.33,22.41
SKU00099,Product 99,BrandB,Active,Y,150,98,9.43,13.95
SKU00100,Product 100,BrandA,Active,Y,110,58,15.58,19.86
SKU00101,Product 101,BrandD,Active,Y,123,81,12.7,17.69
SKU00102,Product 102,BrandA,Active,Y,251,122,13.79,17.69
SKU00103,Product 103,BrandD,Active,Y,159,84,7.69,10.4
SKU00104,Product 104,BrandB,Active,Y,154,76,16.03,23.02
SKU00105,Product 105,BrandA,Obsolete,Y,169,105,7.83,11.47
SKU00106,Product 106,BrandE,Active,Y,297,132,6.7,9.73
SKU00107,Product 107,BrandC,Active,Y,200,155,13.2,18.15
SKU00108,Product 108,BrandD,Active,Y,146,78,15.64,19.94
SKU00109,Product 109,BrandC,Active,Y,154,75,5.75,8.04
SKU00110,Product 110,BrandC,Active,N,116,69,6.04,8.53
SKU00111,Product 111,BrandA,Active,Y,351,179,17.04,20.5
SKU00112,Product 112,BrandC,Active,Y,110,68,17.14,22.83
SKU00113,Product 113,BrandE,Active,Y,78,42,8.68,12.61
SKU00114,Product 114,BrandC,Active,N,227,103,14.23,19.17
SKU00115,Product 115,BrandA,Active,N,201,102,11.65,15.07
SKU00116,Product 116,BrandE,Active,Y,346,199,14.49,21.18
SKU00117,Product 117,BrandB,Active,Y,287,118,17.94,22.37
SKU00118,Product 118,BrandC,Active,Y,137,97,6.2,7.82
SKU00119,Product 119,BrandA,Active,Y,75,49,16.67,23.44
SKU00120,Product 120,BrandB,Obsolete,Y,183,117,12.4,16.19
SKU00121,Product 121,BrandB,Active,Y,149,92,13.46,19.03
SKU00122,Product 122,BrandD,Active,N,269,171,14.81,18.47
SKU00123,Product 123,BrandE,Active,Y,202,156,18.84,24.03
SKU00124,Product 124,BrandC,Active,Y,188,76,5.85,7.29
SKU00125,Product 125,BrandA,Active,Y,205,86,5.44,8.08
SKU00126,Product 126,BrandD,Active,N,407,194,7.67,10.14
SKU00127,Product 127,BrandE,Discontinued,N,87,41,19.8,25.76
SKU00128,Product 128,BrandD,Obsolete,Y,105,50,15.73,18.94
SKU00129,Product 129,BrandE,Obsolete,Y,133,89,14.22,17.72
SKU00130,Product 130,BrandE,Active,Y,38,22,5.71,7.57
SKU00131,Product 131,BrandC,Active,Y,246,196,18.19,22.2
SKU00132,Product 132,BrandE,Active,Y,583,286,17.19,23.26
SKU00133,Product 133,BrandD,Active,Y,883,463,14.97,20.01
SKU00134,Product 134,BrandE,Active,Y,555,441,10.09,14.43
SKU00135,Product 135,BrandC,Obsolete,Y,150,110,6.06,8.47
SKU00136,Product 136,BrandC,Active,Y,256,151,13.7,18.27
SKU00137,Product 137,BrandD,Discontinued,Y,139,86,15.8,20.02
SKU00138,Product 138,BrandB,Active,Y,240,177,6.41,9.09
SKU00139,Product 139,BrandB,Obsolete,Y,400,237,14.51,20.49
SKU00140,Product 140,BrandE,Active,Y,41,20,9.3,11.59
SKU00141,Product 141,BrandA,Active,Y,623,456,16.46,24.27
SKU00142,Product 142,BrandE,Active,Y,177,109,13.09,15.96
SKU00143,Product 143,BrandD,Active,Y,263,121,6.94,8.44
SKU00144,Product 144,BrandD,Active,Y,315,190,12.9,16.21
SKU00145,Product 145,BrandD,Discontinued,Y,162,92,10.94,16.11
SKU00146,Product 146,BrandD,Active,Y,244,183,7.71,10.45
SKU00147,Product 147,BrandD,Active,N,51,23,17.62,25.31
SKU00148,Product 148,BrandC,Active,Y,152,114,5.17,6.56
SKU00149,Product 149,BrandB,Active,Y,444,269,9.68,13.04
SKU00150,Product 150,BrandD,Active,N,277,156,5.19,6.79
SKU00151,Product 151,BrandA,Active,Y,497,231,6.44,9.33
SKU00152,Product 152,BrandA,Active,N,214,146,9.46,11.42
SKU00153,Product 153,BrandA,Active,Y,217,167,5.81,7.4
SKU00154,Product 154,BrandA,Active,Y,139,76,13.95,17.38
SKU00155,Product 155,BrandC,Active,Y,203,101,6.3,9.18
SKU00156,Product 156,BrandA,Active,Y,347,216,15.53,20.81
SKU00157,Product 157,BrandD,Obsolete,Y,150,108,5.79,7.65
SKU00158,Product 158,BrandE,Active,N,204,82,5.89,7.86
SKU00159,Product 159,BrandA,Active,Y,241,157,9.58,14.29
SKU00160,Product 160,BrandC,Active,Y,61,39,18.45,26.85
SKU00161,Product 161,BrandC,Active,Y,228,120,14.62,20.64
SKU00162,Product 162,BrandA,Obsolete,Y,102,59,16.55,21.3
SKU00163,Product 163,BrandE,Active,Y,135,67,7.12,8.9
SKU00164,Product 164,BrandA,Active,Y,486,348,17.51,25.85
SKU00165,Product 165,BrandC,Active,Y,78,51,5.12,6.79
SKU00166,Product 166,BrandB,Active,Y,143,88,8.2,10.53
SKU00167,Product 167,BrandD,Active,Y,298,166,14.24,19.1
SKU00168,Product 168,BrandC,Active,Y,291,150,10.63,15.68
SKU00169,Product 169,BrandA,Active,Y,87,63,19.76,26.01
SKU00170,Product 170,BrandD,Active,Y,250,145,5.46,7.47
SKU00171,Product 171,BrandA,Active,Y,123,74,19.98,28.79
SKU00172,Product 172,BrandA,Active,N,275,167,14.35,19.06
SKU00173,Product 173,BrandB,Active,Y,347,201,13.38,16.99
SKU00174,Product 174,BrandD,Active,Y,117,59,5.89,8.83
SKU00175,Product 175,BrandD,Active,Y,559,251,9.1,13.53
SKU00176,Product 176,BrandB,Discontinued,Y,227,100,18.87,27.42
SKU00177,Product 177,BrandC,Active,Y,206,145,10.31,14.5
SKU00178,Product 178,BrandA,Active,Y,634,310,14.92,19.22
SKU00179,Product 179,BrandE,Active,Y,199,84,19.99,29.47
SKU00180,Product 180,BrandA,Obsolete,Y,326,234,8.95,11.48
SKU00181,Product 181,BrandA,Active,Y,225,104,13.64,19.64
SKU00182,Product 182,BrandC,Active,N,143,93,15.45,22.8
SKU00183,Product 183,BrandA,Active,Y,321,172,7.47,10.32
SKU00184,Product 184,BrandB,Active,Y,97,44,7.23,10.42
SKU00185,Product 185,BrandB,Obsolete,Y,284,161,11.84,17.02
SKU00186,Product 186,BrandD,Obsolete,Y,125,51,10.79,13.57
SKU00187,Product 187,BrandE,Active,Y,265,195,15.71,22.0
SKU00188,Product 188,BrandA,Active,Y,133,81,6.04,7.42
SKU00189,Product 189,BrandA,Obsolete,Y,121,55,19.58,26.48
SKU00190,Product 190,BrandC,Active,Y,51,25,5.21,6.51
SKU00191,Product 191,BrandB,Active,Y,195,113,14.02,18.58
SKU00192,Product 192,BrandE,Active,N,193,92,13.44,19.49
SKU00193,Product 193,BrandD,Active,Y,170,86,7.02,10.5
SKU00194,Product 194,BrandB,Obsolete,Y,175,107,7.26,9.4
SKU00195,Product 195,BrandD,Obsolete,Y,258,189,16.89,22.96
SKU00196,Product 196,BrandC,Obsolete,Y,400,224,18.31,24.78
SKU00197,Product 197,BrandC,Active,Y,340,234,9.25,13.75
SKU00198,Product 198,BrandA,Obsolete,Y,256,192,11.57,15.55
SKU00199,Product 199,BrandE,Active,Y,278,135,10.32,14.55
SKU00200,Product 200,BrandD,Active,Y,234,169,6.09,8.99
