item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00001,Product 1,BrandD,Discontinued,Y,226,126,7.05,8.5
SKU00002,Product 2,BrandE,Active,Y,508,257,15.3,18.98
SKU00003,Product 3,BrandC,Obsolete,Y,222,174,18.7,26.34
SKU00004,Product 4,BrandE,Active,Y,389,250,14.13,17.47
SKU00005,Product 5,BrandE,Active,Y,58,45,13.4,17.01
SKU00006,Product 6,BrandB,Active,Y,441,212,19.42,25.35
SKU00007,Product 7,BrandC,Active,Y,399,183,14.41,20.57
SKU00008,Product 8,BrandC,Obsolete,Y,210,156,8.89,12.22
SKU00009,Product 9,BrandC,Active,Y,415,279,9.39,13.21
SKU00010,Product 10,BrandE,Active,Y,373,177,15.58,21.35
SKU00011,Product 11,BrandD,Active,Y,75,38,16.03,22.52
SKU00012,Product 12,BrandC,Obsolete,Y,128,92,9.55,11.47
SKU00013,Product 13,BrandE,Active,Y,354,206,10.18,15.06
SKU00014,Product 14,BrandB,Active,Y,56,37,19.87,24.51
SKU00015,Product 15,BrandD,Obsolete,Y,597,315,6.53,8.63
SKU00016,Product 16,BrandB,Active,Y,174,96,11.07,15.84
SKU00017,Product 17,BrandD,Active,Y,465,370,5.94,7.9
SKU00018,Product 18,BrandE,Obsolete,Y,215,107,17.32,25.7
SKU00019,Product 19,BrandA,Active,Y,124,75,6.39,8.56
SKU00020,Product 20,BrandD,Active,Y,203,150,15.11,22.1
SKU00021,Product 21,BrandB,Active,Y,232,115,5.85,8.44
SKU00022,Product 22,BrandE,Active,N,179,101,15.09,22.55
SKU00023,Product 23,BrandD,Active,Y,362,234,17.65,26.09
SKU00024,Product 24,BrandA,Active,Y,188,111,10.98,16.13
SKU00025,Product 25,BrandA,Active,N,128,75,12.83,18.21
SKU00026,Product 26,BrandC,Discontinued,Y,151,82,11.02,14.44
SKU00027,Product 27,BrandC,Active,Y,106,67,9.51,11.71
SKU00028,Product 28,BrandB,Active,Y,193,125,17.05,23.98
SKU00029,Product 29,BrandD,Discontinued,Y,308,204,9.08,13.56
SKU00030,Product 30,BrandD,Discontinued,Y,281,120,15.84,22.46
SKU00031,Product 31,BrandC,Active,Y,261,170,8.09,11.96
SKU00032,Product 32,BrandD,Obsolete,Y,157,123,8.75,12.61
SKU00033,Product 33,BrandD,Active,Y,275,170,10.05,12.55
SKU00034,Product 34,BrandA,Active,N,194,133,13.84,17.64
SKU00035,Product 35,BrandC,Active,Y,97,60,11.82,15.4
SKU00036,Product 36,BrandE,Obsolete,Y,82,61,16.18,20.23
SKU00037,Product 37,BrandC,Obsolete,Y,255,197,8.2,11.27
SKU00038,Product 38,BrandE,Active,Y,94,45,5.16,7.7
SKU00039,Product 39,BrandA,Obsolete,Y,87,50,16.65,23.78
SKU00040,Product 40,BrandB,Obsolete,Y,188,105,17.32,22.98
SKU00041,Product 41,BrandD,Obsolete,Y,510,287,5.89,7.08
SKU00042,Product 42,BrandA,Active,Y,87,39,14.16,18.32
SKU00043,Product 43,BrandD,Active,Y,237,172,10.67,14.49
SKU00044,Product 44,BrandB,Active,Y,593,246,16.91,21.94
SKU00045,Product 45,BrandB,Active,Y,120,73,18.12,22.35
SKU00046,Product 46,BrandA,Obsolete,Y,125,83,17.77,23.68
SKU00047,Product 47,BrandB,Discontinued,N,272,131,16.66,21.26
SKU00048,Product 48,BrandE,Active,Y,93,71,9.04,13.31
