item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00001,Product 1,BrandD,Discontinued,Y,252,187,12.11,17.66
SKU00002,Product 2,BrandE,Active,Y,486,240,5.06,7.06
SKU00003,Product 3,BrandC,Obsolete,Y,319,142,5.17,7.0
SKU00004,Product 4,BrandE,Active,Y,447,237,11.25,14.04
SKU00005,Product 5,BrandE,Active,Y,54,26,7.33,8.91
SKU00006,Product 6,BrandB,Active,Y,445,343,14.97,19.97
SKU00007,Product 7,BrandC,Active,Y,460,344,15.63,18.99
SKU00008,Product 8,BrandC,Obsolete,Y,222,133,7.67,10.51
SKU00009,Product 9,BrandC,Active,Y,460,195,18.33,24.1
SKU00010,Product 10,BrandE,Active,Y,361,248,11.63,16.6
SKU00011,Product 11,BrandD,Active,Y,91,59,7.14,9.22
SKU00012,Product 12,BrandC,Obsolete,Y,202,159,16.46,22.68
SKU00013,Product 13,BrandE,Active,Y,332,207,16.85,22.94
SKU00014,Product 14,BrandB,Active,Y,64,34,14.59,17.53
SKU00015,Product 15,BrandD,Obsolete,Y,593,360,17.8,21.75
SKU00016,Product 16,BrandB,Active,Y,157,124,16.06,20.67
SKU00017,Product 17,BrandD,Active,Y,430,292,18.23,26.7
SKU00018,Product 18,BrandE,Obsolete,Y,199,133,11.51,14.32
SKU00019,Product 19,BrandA,Active,Y,120,60,16.21,22.91
SKU00020,Product 20,BrandD,Active,Y,214,149,20.0,29.84
SKU00021,Product 21,BrandB,Active,Y,215,151,15.87,22.81
SKU00022,Product 22,BrandE,Active,N,209,110,6.71,8.54
SKU00023,Product 23,BrandD,Active,Y,324,192,12.77,18.8
SKU00024,Product 24,BrandA,Active,Y,190,98,13.81,16.96
SKU00025,Product 25,BrandA,Active,N,138,69,7.61,10.2
SKU00026,Product 26,BrandC,Discontinued,Y,194,80,19.44,28.5
SKU00027,Product 27,BrandC,Active,Y,108,56,7.63,10.62
SKU00028,Product 28,BrandB,Active,Y,257,160,7.66,10.14
SKU00029,Product 29,BrandD,Discontinued,Y,320,128,18.73,24.12
SKU00030,Product 30,BrandD,Discontinued,Y,246,126,11.98,15.72
SKU00031,Product 31,BrandC,Active,Y,298,224,5.95,8.05
SKU00032,Product 32,BrandD,Obsolete,Y,161,103,13.97,18.1
SKU00033,Product 33,BrandD,Active,Y,316,203,14.03,20.91
SKU00034,Product 34,BrandA,Active,N,201,113,5.97,8.84
SKU00035,Product 35,BrandC,Active,Y,117,78,19.59,28.62
SKU00036,Product 36,BrandE,Obsolete,Y,80,38,13.16,17.46
SKU00037,Product 37,BrandC,Obsolete,Y,271,197,13.4,18.86
SKU00038,Product 38,BrandE,Active,Y,111,50,12.8,18.83
SKU00039,Product 39,BrandA,Obsolete,Y,96,64,14.16,20.6
SKU00040,Product 40,BrandB,Obsolete,Y,241,129,8.96,11.87
SKU00041,Product 41,BrandD,Obsolete,Y,471,329,9.31,11.49
SKU00042,Product 42,BrandA,Active,Y,103,64,12.67,15.49
SKU00043,Product 43,BrandD,Active,Y,246,143,17.1,23.48
SKU00044,Product 44,BrandB,Active,Y,542,254,5.75,8.01
SKU00045,Product 45,BrandB,Active,Y,101,66,14.05,20.44
SKU00046,Product 46,BrandA,Obsolete,Y,105,83,17.1,22.02
SKU00047,Product 47,BrandB,Discontinued,N,239,175,7.35,9.19
SKU00048,Product 48,BrandE,Active,Y,109,46,5.23,6.87
SKU00049,Product 49,BrandB,Active,Y,154,85,9.69,12.66
SKU00050,Product 50,BrandD,Active,N,35,27,13.82,17.13
SKU00051,Product 51,BrandD,Active,Y,279,168,7.07,9.91
SKU00052,Product 52,BrandD,Discontinued,Y,127,84,11.39,15.41
SKU00053,Product 53,BrandD,Active,Y,579,443,13.28,18.81
SKU00054,Product 54,BrandE,Active,Y,190,142,13.98,18.26
SKU00055,Product 55,BrandC,Active,Y,107,64,9.12,11.84
SKU00056,Product 56,BrandA,Active,Y,816,469,11.0,14.76
SKU00057,Product 57,BrandD,Active,Y,367,197,16.68,24.41
SKU00058,Product 58,BrandB,Active,Y,194,133,19.12,23.18
SKU00059,Product 59,BrandD,Active,N,219,113,17.93,25.85
SKU00060,Product 60,BrandB,Active,Y,291,145,13.46,17.64
SKU00061,Product 61,BrandB,Active,Y,306,166,11.15,16.24
SKU00062,Product 62,BrandD,Active,N,84,40,9.99,14.39
SKU00063,Product 63,BrandE,Active,N,577,391,6.87,8.96
SKU00064,Product 64,BrandB,Active,N,480,310,6.6,9.29
SKU00065,Product 65,BrandB,Active,Y,620,368,15.33,19.13
SKU00066,Product 66,BrandD,Discontinued,Y,179,100,8.9,13.07
SKU00067,Product 67,BrandB,Active,Y,324,247,8.82,11.65
SKU00068,Product 68,BrandB,Obsolete,Y,290,119,19.97,26.69
SKU00069,Product 69,BrandD,Active,N,268,190,7.82,11.04
SKU00070,Product 70,BrandD,Active,Y,227,173,7.22,10.44
SKU00071,Product 71,BrandA,Active,Y,262,152,6.48,8.24
SKU00072,Product 72,BrandE,Active,N,231,143,13.7,19.16
SKU00073,Product 73,BrandE,Obsolete,Y,158,123,14.42,19.0
SKU00074,Product 74,BrandB,Active,Y,377,183,10.48,13.74
SKU00075,Product 75,BrandE,Active,Y,283,172,13.03,18.33
SKU00076,Product 76,BrandB,Active,Y,292,172,16.83,22.15
SKU00077,Product 77,BrandA,Active,N,551,277,17.27,22.52
SKU00078,Product 78,BrandD,Active,Y,146,106,19.37,28.1
SKU00079,Product 79,BrandD,Discontinued,Y,44,33,17.36,21.36
SKU00080,Product 80,BrandD,Active,Y,423,302,13.47,18.9
SKU00081,Product 81,BrandE,Active,Y,326,156,7.69,9.8
SKU00082,Product 82,BrandA,Obsolete,N,33,14,6.5,7.83
SKU00083,Product 83,BrandE,Active,N,56,36,5.82,7.28
SKU00084,Product 84,BrandE,Discontinued,Y,426,180,15.0,20.73
SKU00085,Product 85,BrandA,Active,N,112,75,17.11,24.17
SKU00086,Product 86,BrandA,Active,Y,274,168,12.63,15.24
SKU00087,Product 87,BrandA,Active,Y,346,230,5.82,7.05
SKU00088,Product 88,BrandA,Discontinued,Y,385,245,13.03,19.16
SKU00089,Product 89,BrandD,Active,Y,505,287,19.04,23.27
SKU00090,Product 90,BrandC,Active,Y,204,98,13.96,20.5
SKU00091,Product 91,BrandC,Active,Y,292,153,17.14,21.74
SKU00092,Product 92,BrandA,Active,Y,497,303,17.0,24.17
SKU00093,Product 93,BrandC,Active,Y,65,43,18.98,24.54
SKU00094,Product 94,BrandC,Active,Y,359,256,16.55,24.12
SKU00095,Product 95,BrandA,Active,Y,1104,780,16.22,22.87
SKU00096,Product 96,BrandC,Obsolete,Y,208,164,8.51,11.24
SKU00097,Product 97,BrandE,Obsolete,Y,426,219,5.9,7.22
SKU00098,Product 98,BrandB,Active,Y,500,214,12.76,18.12
SKU00099,Product 99,BrandB,Active,Y,145,78,6.87,9.52
SKU00100,Product 100,BrandA,Active,Y,123,86,19.43,23.33
SKU00101,Product 101,BrandD,Active,Y,225,129,9.35,11.25
SKU00102,Product 102,BrandA,Active,Y,254,185,17.79,25.66
SKU00103,Product 103,BrandD,Active,Y,265,164,10.81,13.81
SKU00104,Product 104,BrandB,Active,Y,140,108,9.85,13.7
SKU00105,Product 105,BrandA,Obsolete,Y,139,108,19.03,25.43
SKU00106,Product 106,BrandE,Active,Y,396,169,10.45,15.25
SKU00107,Product 107,BrandC,Active,Y,200,117,10.85,16.0
SKU00108,Product 108,BrandD,Active,Y,149,96,6.59,9.88
SKU00109,Product 109,BrandC,Active,Y,140,70,15.06,18.77
SKU00110,Product 110,BrandC,Active,N,133,75,9.33,13.61
SKU00111,Product 111,BrandA,Active,Y,319,214,13.78,17.64
SKU00112,Product 112,BrandC,Active,Y,155,76,13.87,19.1
SKU00113,Product 113,BrandE,Active,Y,132,85,15.79,21.34
SKU00114,Product 114,BrandC,Active,N,275,187,16.18,19.5
SKU00115,Product 115,BrandA,Active,N,206,90,12.72,18.82
SKU00116,Product 116,BrandE,Active,Y,327,196,9.96,12.19
SKU00117,Product 117,BrandB,Active,Y,283,143,17.56,24.7
SKU00118,Product 118,BrandC,Active,Y,222,153,9.65,13.85
SKU00119,Product 119,BrandA,Active,Y,98,47,12.61,18.14
SKU00120,Product 120,BrandB,Obsolete,Y,295,223,11.02,13.67
SKU00121,Product 121,BrandB,Active,Y,172,98,17.83,23.79
SKU00122,Product 122,BrandD,Active,N,363,174,11.48,16.63
SKU00123,Product 123,BrandE,Active,Y,217,125,10.79,13.93
SKU00124,Product 124,BrandC,Active,Y,251,141,15.35,20.57
SKU00125,Product 125,BrandA,Active,Y,251,143,14.04,18.0
SKU00126,Product 126,BrandD,Active,N,483,306,6.61,8.85
SKU00127,Product 127,BrandE,Discontinued,N,92,56,12.62,18.51
SKU00128,Product 128,BrandD,Obsolete,Y,101,46,16.03,21.42
SKU00129,Product 129,BrandE,Obsolete,Y,161,69,19.88,27.17
SKU00130,Product 130,BrandE,Active,Y,46,32,14.44,19.08
SKU00131,Product 131,BrandC,Active,Y,303,189,10.55,14.12
SKU00132,Product 132,BrandE,Active,Y,562,306,8.39,10.11
SKU00133,Product 133,BrandD,Active,Y,859,621,18.09,23.25
SKU00134,Product 134,BrandE,Active,Y,631,350,17.22,22.92
SKU00135,Product 135,BrandC,Obsolete,Y,155,111,8.51,11.83
SKU00136,Product 136,BrandC,Active,Y,234,122,8.01,10.69
SKU00137,Product 137,BrandD,Discontinued,Y,157,67,15.73,20.47
SKU00138,Product 138,BrandB,Active,Y,292,226,9.72,12.8
SKU00139,Product 139,BrandB,Obsolete,Y,389,217,9.6,12.22
SKU00140,Product 140,BrandE,Active,Y,55,39,7.28,10.76
SKU00141,Product 141,BrandA,Active,Y,533,273,8.96,12.15
SKU00142,Product 142,BrandE,Active,Y,190,125,11.41,13.74
SKU00143,Product 143,BrandD,Active,Y,262,196,15.99,19.28
SKU00144,Product 144,BrandD,Active,Y,402,167,10.04,14.98
SKU00145,Product 145,BrandD,Discontinued,Y,203,149,9.93,12.58
SKU00146,Product 146,BrandD,Active,Y,294,185,9.27,13.36
SKU00147,Product 147,BrandD,Active,N,70,45,12.17,14.82
SKU00148,Product 148,BrandC,Active,Y,166,101,7.71,11.38
SKU00149,Product 149,BrandB,Active,Y,413,310,12.28,17.96
SKU00150,Product 150,BrandD,Active,N,290,121,15.56,21.34
SKU00151,Product 151,BrandA,Active,Y,580,293,5.45,6.55
SKU00152,Product 152,BrandA,Active,N,240,180,5.15,6.58
SKU00153,Product 153,BrandA,Active,Y,389,273,6.13,8.1
SKU00154,Product 154,BrandA,Active,Y,189,77,13.03,17.43
SKU00155,Product 155,BrandC,Active,Y,180,109,17.82,22.98
SKU00156,Product 156,BrandA,Active,Y,349,214,5.07,6.13
SKU00157,Product 157,BrandD,Obsolete,Y,165,92,19.05,26.23
SKU00158,Product 158,BrandE,Active,N,285,148,6.59,8.94
SKU00159,Product 159,BrandA,Active,Y,243,163,17.63,22.65
SKU00160,Product 160,BrandC,Active,Y,73,35,12.24,14.83
SKU00161,Product 161,BrandC,Active,Y,246,177,14.89,22.31
SKU00162,Product 162,BrandA,Obsolete,Y,99,71,12.66,17.02
SKU00163,Product 163,BrandE,Active,Y,156,88,12.16,17.35
SKU00164,Product 164,BrandA,Active,Y,482,247,17.52,23.4
SKU00165,Product 165,BrandC,Active,Y,97,50,16.34,19.82
SKU00166,Product 166,BrandB,Active,Y,160,95,12.25,15.84
SKU00167,Product 167,BrandD,Active,Y,388,267,6.67,8.64
