item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00001,Product 1,BrandD,Discontinued,Y,242,126,16.47,19.9
SKU00002,Product 2,BrandE,Active,Y,389,274,15.07,19.03
SKU00003,Product 3,BrandC,Obsolete,Y,338,183,11.53,14.81
SKU00004,Product 4,BrandE,Active,Y,557,434,13.24,18.72
SKU00005,Product 5,BrandE,Active,Y,58,46,9.68,11.65
SKU00006,Product 6,BrandB,Active,Y,495,321,12.24,16.19
SKU00007,Product 7,BrandC,Active,Y,440,339,12.6,18.61
SKU00008,Product 8,BrandC,Obsolete,Y,281,198,10.81,13.33
SKU00009,Product 9,BrandC,Active,Y,355,220,18.6,25.2
SKU00010,Product 10,BrandE,Active,Y,301,142,5.24,7.52
SKU00011,Product 11,BrandD,Active,Y,88,51,16.73,24.81
SKU00012,Product 12,BrandC,Obsolete,Y,345,215,6.87,9.78
SKU00013,Product 13,BrandE,Active,Y,287,214,16.96,24.02
SKU00014,Product 14,BrandB,Active,Y,56,33,14.24,20.62
SKU00015,Product 15,BrandD,Obsolete,Y,475,361,17.65,23.54
SKU00016,Product 16,BrandB,Active,Y,131,88,6.46,9.31
SKU00017,Product 17,BrandD,Active,Y,401,182,13.38,16.09
SKU00018,Product 18,BrandE,Obsolete,Y,230,184,12.52,18.5
SKU00019,Product 19,BrandA,Active,Y,98,60,15.59,20.78
SKU00020,Product 20,BrandD,Active,Y,321,179,13.01,17.77
SKU00021,Product 21,BrandB,Active,Y,199,132,13.11,16.73
SKU00022,Product 22,BrandE,Active,N,237,105,11.44,16.28
SKU00023,Product 23,BrandD,Active,Y,338,221,9.63,11.78
SKU00024,Product 24,BrandA,Active,Y,200,120,12.23,17.88
SKU00025,Product 25,BrandA,Active,N,157,88,6.78,9.82
SKU00026,Product 26,BrandC,Discontinued,Y,187,146,19.42,24.56
SKU00027,Product 27,BrandC,Active,Y,109,66,15.72,22.68
SKU00028,Product 28,BrandB,Active,Y,230,112,19.29,27.7
SKU00029,Product 29,BrandD,Discontinued,Y,231,135,8.4,11.67
SKU00030,Product 30,BrandD,Discontinued,Y,263,202,18.19,23.87
SKU00031,Product 31,BrandC,Active,Y,369,174,17.13,21.95
SKU00032,Product 32,BrandD,Obsolete,Y,143,69,15.16,19.25
SKU00033,Product 33,BrandD,Active,Y,258,105,14.38,18.63
SKU00034,Product 34,BrandA,Active,N,174,71,9.75,14.34
SKU00035,Product 35,BrandC,Active,Y,126,92,17.25,21.1
SKU00036,Product 36,BrandE,Obsolete,Y,90,62,12.52,18.14
SKU00037,Product 37,BrandC,Obsolete,Y,242,131,6.06,7.91
SKU00038,Product 38,BrandE,Active,Y,106,72,9.69,13.14
SKU00039,Product 39,BrandA,Obsolete,Y,83,46,19.03,27.37
SKU00040,Product 40,BrandB,Obsolete,Y,220,172,17.76,26.02
SKU00041,Product 41,BrandD,Obsolete,Y,460,362,19.73,25.72
SKU00042,Product 42,BrandA,Active,Y,116,65,14.42,19.3
SKU00043,Product 43,BrandD,Active,Y,291,216,8.71,11.54
SKU00044,Product 44,BrandB,Active,Y,533,378,7.44,8.96
