item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00001,Product 1,BrandD,Discontinued,Y,275,173,7.4,10.42
SKU00002,Product 2,BrandE,Active,Y,534,279,10.76,15.52
SKU00003,Product 3,BrandC,Obsolete,Y,228,136,8.29,11.6
SKU00004,Product 4,BrandE,Active,Y,383,230,9.58,11.93
SKU00005,Product 5,BrandE,Active,Y,59,24,19.63,24.16
SKU00006,Product 6,BrandB,Active,Y,287,156,15.57,21.36
SKU00007,Product 7,BrandC,Active,Y,444,309,15.68,20.7
SKU00008,Product 8,BrandC,Obsolete,Y,185,112,6.42,8.53
SKU00009,Product 9,BrandC,Active,Y,424,211,15.98,23.82
SKU00010,Product 10,BrandE,Active,Y,387,207,16.09,22.8
SKU00011,Product 11,BrandD,Active,Y,94,70,14.9,19.72
SKU00012,Product 12,BrandC,Obsolete,Y,131,80,8.43,10.16
SKU00013,Product 13,BrandE,Active,Y,386,236,11.35,13.74
SKU00014,Product 14,BrandB,Active,Y,60,47,17.69,24.86
SKU00015,Product 15,BrandD,Obsolete,Y,539,285,15.05,21.84
SKU00016,Product 16,BrandB,Active,Y,214,127,15.99,22.58
SKU00017,Product 17,BrandD,Active,Y,466,338,13.81,18.25
SKU00018,Product 18,BrandE,Obsolete,Y,219,154,11.74,14.2
SKU00019,Product 19,BrandA,Active,Y,106,54,16.39,24.42
SKU00020,Product 20,BrandD,Active,Y,332,153,6.02,9.01
SKU00021,Product 21,BrandB,Active,Y,159,108,15.1,20.61
SKU00022,Product 22,BrandE,Active,N,184,93,19.96,24.38
SKU00023,Product 23,BrandD,Active,Y,338,260,16.7,22.75
SKU00024,Product 24,BrandA,Active,Y,218,98,9.36,13.74
SKU00025,Product 25,BrandA,Active,N,143,75,9.17,12.87
SKU00026,Product 26,BrandC,Discontinued,Y,185,78,15.01,21.25
SKU00027,Product 27,BrandC,Active,Y,107,73,18.44,22.6
SKU00028,Product 28,BrandB,Active,Y,244,185,13.67,16.84
SKU00029,Product 29,BrandD,Discontinued,Y,313,205,12.91,15.99
SKU00030,Product 30,BrandD,Discontinued,Y,251,195,7.41,10.9
SKU00031,Product 31,BrandC,Active,Y,267,121,15.73,21.36
SKU00032,Product 32,BrandD,Obsolete,Y,154,67,15.53,22.32
SKU00033,Product 33,BrandD,Active,Y,272,200,19.5,24.07
SKU00034,Product 34,BrandA,Active,N,172,128,9.5,14.04
SKU00035,Product 35,BrandC,Active,Y,54,40,16.35,23.65
SKU00036,Product 36,BrandE,Obsolete,Y,87,63,11.51,14.59
SKU00037,Product 37,BrandC,Obsolete,Y,281,153,13.38,19.56
SKU00038,Product 38,BrandE,Active,Y,105,51,17.25,22.06
SKU00039,Product 39,BrandA,Obsolete,Y,74,57,8.33,10.51
SKU00040,Product 40,BrandB,Obsolete,Y,166,87,10.14,12.97
SKU00041,Product 41,BrandD,Obsolete,Y,555,310,16.6,24.45
SKU00042,Product 42,BrandA,Active,Y,69,47,13.56,20.0
SKU00043,Product 43,BrandD,Active,Y,254,131,6.39,8.3
SKU00044,Product 44,BrandB,Active,Y,640,466,11.45,16.16
SKU00045,Product 45,BrandB,Active,Y,111,48,13.8,19.36
SKU00046,Product 46,BrandA,Obsolete,Y,98,70,18.64,26.88
SKU00047,Product 47,BrandB,Discontinued,N,293,188,7.83,10.09
SKU00048,Product 48,BrandE,Active,Y,58,36,17.09,23.12
SKU00049,Product 49,BrandB,Active,Y,92,54,6.96,9.75
SKU00050,Product 50,BrandD,Active,N,38,19,8.63,10.42
SKU00051,Product 51,BrandD,Active,Y,288,169,8.65,11.36
SKU00052,Product 52,BrandD,Discontinued,Y,118,68,18.16,25.58
SKU00053,Product 53,BrandD,Active,Y,405,257,7.99,10.19
SKU00054,Product 54,BrandE,Active,Y,84,43,16.8,24.99
SKU00055,Product 55,BrandC,Active,Y,91,39,11.93,14.42
SKU00056,Product 56,BrandA,Active,Y,803,368,19.99,29.73
SKU00057,Product 57,BrandD,Active,Y,440,299,17.59,22.25
SKU00058,Product 58,BrandB,Active,Y,180,74,16.1,19.56
SKU00059,Product 59,BrandD,Active,N,183,136,18.06,23.26
SKU00060,Product 60,BrandB,Active,Y,257,174,14.51,20.83
SKU00061,Product 61,BrandB,Active,Y,263,186,17.65,25.16
SKU00062,Product 62,BrandD,Active,N,70,51,8.92,11.26
SKU00063,Product 63,BrandE,Active,N,664,298,6.47,8.15
SKU00064,Product 64,BrandB,Active,N,468,341,14.24,19.83
SKU00065,Product 65,BrandB,Active,Y,503,303,11.52,15.41
SKU00066,Product 66,BrandD,Discontinued,Y,199,150,11.4,16.39
SKU00067,Product 67,BrandB,Active,Y,276,208,12.9,15.57
SKU00068,Product 68,BrandB,Obsolete,Y,226,93,10.42,14.41
SKU00069,Product 69,BrandD,Active,N,259,143,14.39,20.42
SKU00070,Product 70,BrandD,Active,Y,171,104,5.46,8.18
SKU00071,Product 71,BrandA,Active,Y,231,155,19.55,27.44
SKU00072,Product 72,BrandE,Active,N,286,147,18.87,23.96
SKU00073,Product 73,BrandE,Obsolete,Y,205,103,19.03,23.45
SKU00074,Product 74,BrandB,Active,Y,244,135,10.48,14.59
SKU00075,Product 75,BrandE,Active,Y,232,139,12.98,17.61
SKU00076,Product 76,BrandB,Active,Y,310,242,19.31,28.38
SKU00077,Product 77,BrandA,Active,N,436,307,18.54,26.29
SKU00078,Product 78,BrandD,Active,Y,92,53,16.85,22.8
SKU00079,Product 79,BrandD,Discontinued,Y,44,19,11.11,14.68
SKU00080,Product 80,BrandD,Active,Y,244,114,13.47,17.8
SKU00081,Product 81,BrandE,Active,Y,296,172,16.89,21.41
SKU00082,Product 82,BrandA,Obsolete,N,5,4,9.1,10.97
SKU00083,Product 83,BrandE,Active,N,37,20,14.4,19.76
SKU00084,Product 84,BrandE,Discontinued,Y,397,244,17.42,22.01
SKU00085,Product 85,BrandA,Active,N,94,71,15.61,19.71
SKU00086,Product 86,BrandA,Active,Y,264,202,12.19,15.09
SKU00087,Product 87,BrandA,Active,Y,299,145,13.77,17.31
SKU00088,Product 88,BrandA,Discontinued,Y,420,175,19.83,23.99
SKU00089,Product 89,BrandD,Active,Y,451,235,14.03,19.67
SKU00090,Product 90,BrandC,Active,Y,137,93,16.78,22.16
SKU00091,Product 91,BrandC,Active,Y,308,240,15.9,21.76
SKU00092,Product 92,BrandA,Active,Y,695,299,15.52,21.59
SKU00093,Product 93,BrandC,Active,Y,74,30,15.75,23.49
SKU00094,Product 94,BrandC,Active,Y,347,262,11.82,14.43
SKU00095,Product 95,BrandA,Active,Y,1049,734,12.11,16.05
SKU00096,Product 96,BrandC,Obsolete,Y,209,167,12.02,15.31
SKU00097,Product 97,BrandE,Obsolete,Y,326,182,5.5,7.39
SKU00098,Product 98,BrandB,Active,Y,384,218,8.62,12.72
SKU00099,Product 99,BrandB,Active,Y,139,65,7.32,10.37
SKU00100,Product 100,BrandA,Active,Y,175,78,18.3,25.59
SKU00101,Product 101,BrandD,Active,Y,204,129,9.12,12.15
SKU00102,Product 102,BrandA,Active,Y,275,150,7.08,9.92
SKU00103,Product 103,BrandD,Active,Y,128,55,6.8,8.23
SKU00104,Product 104,BrandB,Active,Y,134,101,15.5,21.33
SKU00105,Product 105,BrandA,Obsolete,Y,164,79,5.09,6.95
SKU00106,Product 106,BrandE,Active,Y,289,202,12.07,15.74
SKU00107,Product 107,BrandC,Active,Y,213,109,6.78,8.55
SKU00108,Product 108,BrandD,Active,Y,205,149,17.74,25.59
SKU00109,Product 109,BrandC,Active,Y,187,84,19.38,23.57
SKU00110,Product 110,BrandC,Active,N,138,97,19.38,23.66
SKU00111,Product 111,BrandA,Active,Y,384,169,11.63,15.49
SKU00112,Product 112,BrandC,Active,Y,134,78,14.67,18.72
SKU00113,Product 113,BrandE,Active,Y,77,53,14.0,19.93
SKU00114,Product 114,BrandC,Active,N,272,128,10.25,14.25
SKU00115,Product 115,BrandA,Active,N,219,113,11.66,16.69
SKU00116,Product 116,BrandE,Active,Y,373,278,5.96,7.73
SKU00117,Product 117,BrandB,Active,Y,236,178,16.94,24.09
SKU00118,Product 118,BrandC,Active,Y,164,69,8.61,12.56
SKU00119,Product 119,BrandA,Active,Y,117,55,11.91,15.53
SKU00120,Product 120,BrandB,Obsolete,Y,211,94,12.21,15.9
SKU00121,Product 121,BrandB,Active,Y,140,66,13.41,19.71
SKU00122,Product 122,BrandD,Active,N,290,229,17.27,20.98
SKU00123,Product 123,BrandE,Active,Y,217,135,15.38,20.07
SKU00124,Product 124,BrandC,Active,Y,220,129,14.95,18.47
SKU00125,Product 125,BrandA,Active,Y,193,153,12.9,15.59
SKU00126,Product 126,BrandD,Active,N,439,273,6.44,7.95
SKU00127,Product 127,BrandE,Discontinued,N,123,82,11.03,14.66
SKU00128,Product 128,BrandD,Obsolete,Y,107,57,19.36,27.22
SKU00129,Product 129,BrandE,Obsolete,Y,110,61,19.93,25.65
SKU00130,Product 130,BrandE,Active,Y,63,40,15.96,23.22
SKU00131,Product 131,BrandC,Active,Y,215,92,8.41,11.2
SKU00132,Product 132,BrandE,Active,Y,631,317,6.53,9.73
SKU00133,Product 133,BrandD,Active,Y,834,399,11.22,16.68
SKU00134,Product 134,BrandE,Active,Y,405,165,17.85,25.56
SKU00135,Product 135,BrandC,Obsolete,Y,185,114,15.83,23.42
SKU00136,Product 136,BrandC,Active,Y,234,146,18.26,25.79
SKU00137,Product 137,BrandD,Discontinued,Y,121,67,14.24,20.91
SKU00138,Product 138,BrandB,Active,Y,161,82,6.95,8.83
SKU00139,Product 139,BrandB,Obsolete,Y,425,281,6.72,8.76
SKU00140,Product 140,BrandE,Active,Y,40,18,5.72,8.16
SKU00141,Product 141,BrandA,Active,Y,607,369,13.51,17.93
SKU00142,Product 142,BrandE,Active,Y,241,170,8.64,12.54
SKU00143,Product 143,BrandD,Active,Y,247,115,16.02,23.44
SKU00144,Product 144,BrandD,Active,Y,399,280,15.29,19.72
SKU00145,Product 145,BrandD,Discontinued,Y,192,135,9.77,14.14
SKU00146,Product 146,BrandD,Active,Y,244,103,7.65,9.53
SKU00147,Product 147,BrandD,Active,N,61,25,6.54,8.5
SKU00148,Product 148,BrandC,Active,Y,172,136,16.06,21.77
SKU00149,Product 149,BrandB,Active,Y,530,253,11.76,14.91
SKU00150,Product 150,BrandD,Active,N,257,187,9.85,13.53
SKU00151,Product 151,BrandA,Active,Y,477,298,17.85,24.52
SKU00152,Product 152,BrandA,Active,N,331,167,13.9,17.54
SKU00153,Product 153,BrandA,Active,Y,138,62,12.77,18.37
SKU00154,Product 154,BrandA,Active,Y,88,53,16.15,22.44
