item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00001,Product 1,BrandD,Discontinued,Y,304,164,7.1,10.37
SKU00002,Product 2,BrandE,Active,Y,582,312,10.57,15.53
SKU00003,Product 3,BrandC,Obsolete,Y,260,163,15.58,22.6
SKU00004,Product 4,BrandE,Active,Y,474,245,10.77,13.08
SKU00005,Product 5,BrandE,Active,Y,55,25,8.69,12.9
SKU00006,Product 6,BrandB,Active,Y,249,165,13.66,16.92
SKU00007,Product 7,BrandC,Active,Y,415,307,11.27,13.64
SKU00008,Product 8,BrandC,Obsolete,Y,214,165,7.49,9.92
SKU00009,Product 9,BrandC,Active,Y,466,368,7.31,9.2
SKU00010,Product 10,BrandE,Active,Y,382,272,15.61,19.59
SKU00011,Product 11,BrandD,Active,Y,94,43,19.62,25.24
SKU00012,Product 12,BrandC,Obsolete,Y,201,149,8.5,10.83
SKU00013,Product 13,BrandE,Active,Y,359,201,16.6,23.33
SKU00014,Product 14,BrandB,Active,Y,68,47,6.31,7.93
SKU00015,Product 15,BrandD,Obsolete,Y,492,301,10.72,14.61
SKU00016,Product 16,BrandB,Active,Y,224,164,12.6,18.85
SKU00017,Product 17,BrandD,Active,Y,441,251,9.03,12.01
SKU00018,Product 18,BrandE,Obsolete,Y,229,97,12.94,18.02
SKU00019,Product 19,BrandA,Active,Y,115,72,18.24,27.19
SKU00020,Product 20,BrandD,Active,Y,318,149,19.17,23.8
SKU00021,Product 21,BrandB,Active,Y,186,146,6.51,8.63
SKU00022,Product 22,BrandE,Active,N,180,110,9.08,13.21
SKU00023,Product 23,BrandD,Active,Y,373,232,19.69,29.14
SKU00024,Product 24,BrandA,Active,Y,193,147,9.06,12.51
SKU00025,Product 25,BrandA,Active,N,164,107,15.39,19.13
SKU00026,Product 26,BrandC,Discontinued,Y,154,80,8.8,12.94
SKU00027,Product 27,BrandC,Active,Y,106,55,10.35,12.96
SKU00028,Product 28,BrandB,Active,Y,228,137,7.87,10.28
SKU00029,Product 29,BrandD,Discontinued,Y,326,243,17.84,23.42
SKU00030,Product 30,BrandD,Discontinued,Y,288,207,18.24,24.34
SKU00031,Product 31,BrandC,Active,Y,268,210,9.45,13.58
SKU00032,Product 32,BrandD,Obsolete,Y,162,69,17.35,25.0
SKU00033,Product 33,BrandD,Active,Y,338,171,10.37,14.68
SKU00034,Product 34,BrandA,Active,N,196,85,6.49,7.83
SKU00035,Product 35,BrandC,Active,Y,64,45,16.37,22.42
SKU00036,Product 36,BrandE,Obsolete,Y,84,38,13.95,19.87
SKU00037,Product 37,BrandC,Obsolete,Y,321,141,9.12,12.16
SKU00038,Product 38,BrandE,Active,Y,102,64,8.79,13.04
SKU00039,Product 39,BrandA,Obsolete,Y,93,53,19.63,28.41
SKU00040,Product 40,BrandB,Obsolete,Y,190,130,17.94,24.96
SKU00041,Product 41,BrandD,Obsolete,Y,566,337,17.15,20.9
SKU00042,Product 42,BrandA,Active,Y,53,30,6.92,9.66
SKU00043,Product 43,BrandD,Active,Y,222,127,16.33,24.06
SKU00044,Product 44,BrandB,Active,Y,595,446,8.22,10.8
SKU00045,Product 45,BrandB,Active,Y,110,61,19.66,28.54
SKU00046,Product 46,BrandA,Obsolete,Y,97,52,5.78,7.48
SKU00047,Product 47,BrandB,Discontinued,N,326,175,10.28,14.09
SKU00048,Product 48,BrandE,Active,Y,50,24,11.43,15.94
SKU00049,Product 49,BrandB,Active,Y,110,82,17.36,24.36
SKU00050,Product 50,BrandD,Active,N,30,14,16.49,24.15
SKU00051,Product 51,BrandD,Active,Y,274,209,10.62,13.49
SKU00052,Product 52,BrandD,Discontinued,Y,162,83,13.48,17.24
SKU00053,Product 53,BrandD,Active,Y,446,339,17.53,24.74
