item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00001,Product 1,BrandD,Discontinued,Y,270,149,17.99,25.85
SKU00002,Product 2,BrandE,Active,Y,440,320,11.66,16.7
SKU00003,Product 3,BrandC,Obsolete,Y,332,134,7.06,8.93
SKU00004,Product 4,BrandE,Active,Y,502,293,17.93,24.86
SKU00005,Product 5,BrandE,Active,Y,58,31,17.24,20.94
SKU00006,Product 6,BrandB,Active,Y,541,228,19.76,26.58
SKU00007,Product 7,BrandC,Active,Y,454,263,18.65,22.46
SKU00008,Product 8,BrandC,Obsolete,Y,238,119,17.78,26.25
SKU00009,Product 9,BrandC,Active,Y,435,235,5.79,8.64
SKU00010,Product 10,BrandE,Active,Y,316,216,6.57,8.32
SKU00011,Product 11,BrandD,Active,Y,92,56,13.53,17.08
SKU00012,Product 12,BrandC,Obsolete,Y,290,130,12.97,18.5
SKU00013,Product 13,BrandE,Active,Y,331,260,11.87,15.15
SKU00014,Product 14,BrandB,Active,Y,61,40,10.95,16.08
SKU00015,Product 15,BrandD,Obsolete,Y,528,373,11.47,15.74
SKU00016,Product 16,BrandB,Active,Y,122,53,13.54,17.67
SKU00017,Product 17,BrandD,Active,Y,396,166,5.03,7.29
SKU00018,Product 18,BrandE,Obsolete,Y,214,87,8.91,12.01
SKU00019,Product 19,BrandA,Active,Y,115,55,12.77,18.82
SKU00020,Product 20,BrandD,Active,Y,255,144,15.83,23.4
SKU00021,Product 21,BrandB,Active,Y,172,133,7.61,9.51
SKU00022,Product 22,BrandE,Active,N,233,136,13.2,15.85
SKU00023,Product 23,BrandD,Active,Y,378,195,15.72,23.5
SKU00024,Product 24,BrandA,Active,Y,214,134,11.67,17.18
SKU00025,Product 25,BrandA,Active,N,135,60,5.41,6.58
SKU00026,Product 26,BrandC,Discontinued,Y,199,128,11.74,17.02
SKU00027,Product 27,BrandC,Active,Y,110,69,9.45,12.64
SKU00028,Product 28,BrandB,Active,Y,216,155,18.94,24.2
SKU00029,Product 29,BrandD,Discontinued,Y,307,244,6.87,10.06
SKU00030,Product 30,BrandD,Discontinued,Y,247,124,14.79,18.62
SKU00031,Product 31,BrandC,Active,Y,325,196,5.79,8.59
SKU00032,Product 32,BrandD,Obsolete,Y,159,121,11.69,14.75
SKU00033,Product 33,BrandD,Active,Y,291,208,13.31,18.42
SKU00034,Product 34,BrandA,Active,N,201,120,9.47,12.0
SKU00035,Product 35,BrandC,Active,Y,114,89,11.83,16.13
SKU00036,Product 36,BrandE,Obsolete,Y,84,36,7.45,10.47
SKU00037,Product 37,BrandC,Obsolete,Y,249,192,9.56,12.02
SKU00038,Product 38,BrandE,Active,Y,107,45,14.32,19.42
SKU00039,Product 39,BrandA,Obsolete,Y,98,61,9.53,12.78
SKU00040,Product 40,BrandB,Obsolete,Y,261,197,18.5,22.59
SKU00041,Product 41,BrandD,Obsolete,Y,430,217,14.43,20.86
SKU00042,Product 42,BrandA,Active,Y,107,63,11.58,15.06
SKU00043,Product 43,BrandD,Active,Y,275,146,5.58,7.66
SKU00044,Product 44,BrandB,Active,Y,549,429,12.49,16.92
SKU00045,Product 45,BrandB,Active,Y,99,72,16.47,22.3
SKU00046,Product 46,BrandA,Obsolete,Y,102,70,8.98,11.06
SKU00047,Product 47,BrandB,Discontinued,N,214,136,17.1,22.69
SKU00048,Product 48,BrandE,Active,Y,104,76,8.78,11.73
SKU00049,Product 49,BrandB,Active,Y,131,73,17.36,24.65
SKU00050,Product 50,BrandD,Active,N,43,25,6.28,9.12
SKU00051,Product 51,BrandD,Active,Y,349,242,17.99,24.53
SKU00052,Product 52,BrandD,Discontinued,Y,166,90,12.49,15.31
SKU00053,Product 53,BrandD,Active,Y,577,246,9.45,12.01
SKU00054,Product 54,BrandE,Active,Y,186,80,8.98,11.22
SKU00055,Product 55,BrandC,Active,Y,95,42,11.48,14.21
SKU00056,Product 56,BrandA,Active,Y,786,588,19.99,26.18
SKU00057,Product 57,BrandD,Active,Y,372,219,8.3,10.53
SKU00058,Product 58,BrandB,Active,Y,165,113,6.55,8.29
SKU00059,Product 59,BrandD,Active,N,250,139,13.78,16.76
SKU00060,Product 60,BrandB,Active,Y,283,142,12.33,14.86
SKU00061,Product 61,BrandB,Active,Y,299,161,12.86,15.83
SKU00062,Product 62,BrandD,Active,N,79,57,15.0,18.77
SKU00063,Product 63,BrandE,Active,N,530,345,9.01,11.98
SKU00064,Product 64,BrandB,Active,N,483,374,18.66,25.25
SKU00065,Product 65,BrandB,Active,Y,722,485,11.54,14.33
SKU00066,Product 66,BrandD,Discontinued,Y,185,116,6.94,9.21
SKU00067,Product 67,BrandB,Active,Y,327,211,16.13,21.01
SKU00068,Product 68,BrandB,Obsolete,Y,240,186,14.65,18.39
SKU00069,Product 69,BrandD,Active,N,285,204,9.74,11.71
SKU00070,Product 70,BrandD,Active,Y,202,83,14.32,19.19
SKU00071,Product 71,BrandA,Active,Y,262,161,8.3,11.67
SKU00072,Product 72,BrandE,Active,N,209,141,11.67,14.8
SKU00073,Product 73,BrandE,Obsolete,Y,144,101,18.49,22.92
SKU00074,Product 74,BrandB,Active,Y,379,184,7.0,10.26
SKU00075,Product 75,BrandE,Active,Y,240,179,10.8,13.85
SKU00076,Product 76,BrandB,Active,Y,281,220,17.32,21.95
SKU00077,Product 77,BrandA,Active,N,558,276,19.54,28.47
