item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00001,Product 1,BrandD,Discontinued,Y,295,143,19.32,27.5
SKU00002,Product 2,BrandE,Active,Y,506,361,16.07,21.47
SKU00003,Product 3,BrandC,Obsolete,Y,209,96,16.02,19.63
SKU00004,Product 4,BrandE,Active,Y,542,319,6.09,8.72
SKU00005,Product 5,BrandE,Active,Y,56,40,18.43,22.38
SKU00006,Product 6,BrandB,Active,Y,173,89,11.66,16.5
SKU00007,Product 7,BrandC,Active,Y,466,342,14.9,21.95
SKU00008,Product 8,BrandC,Obsolete,Y,210,138,19.4,25.3
SKU00009,Product 9,BrandC,Active,Y,432,241,6.5,8.0
SKU00010,Product 10,BrandE,Active,Y,315,179,12.23,15.53
SKU00011,Product 11,BrandD,Active,Y,76,59,5.74,7.86
SKU00012,Product 12,BrandC,Obsolete,Y,245,119,12.49,18.52
SKU00013,Product 13,BrandE,Active,Y,332,225,8.78,11.89
SKU00014,Product 14,BrandB,Active,Y,54,37,18.67,23.04
SKU00015,Product 15,BrandD,Obsolete,Y,446,343,10.98,15.24
SKU00016,Product 16,BrandB,Active,Y,220,151,14.51,20.6
SKU00017,Product 17,BrandD,Active,Y,367,233,17.9,23.59
SKU00018,Product 18,BrandE,Obsolete,Y,119,91,19.76,27.99
SKU00019,Product 19,BrandA,Active,Y,90,66,12.56,16.3
SKU00020,Product 20,BrandD,Active,Y,268,184,11.84,17.01
SKU00021,Product 21,BrandB,Active,Y,201,83,6.14,8.0
SKU00022,Product 22,BrandE,Active,N,194,107,5.19,6.63
SKU00023,Product 23,BrandD,Active,Y,280,183,14.13,20.68
SKU00024,Product 24,BrandA,Active,Y,138,84,5.98,8.16
SKU00025,Product 25,BrandA,Active,N,125,66,10.71,13.77
SKU00026,Product 26,BrandC,Discontinued,Y,101,46,5.05,7.48
SKU00027,Product 27,BrandC,Active,Y,118,73,14.23,20.03
SKU00028,Product 28,BrandB,Active,Y,239,123,11.38,14.41
SKU00029,Product 29,BrandD,Discontinued,Y,330,163,6.91,9.57
SKU00030,Product 30,BrandD,Discontinued,Y,301,168,9.45,13.81
SKU00031,Product 31,BrandC,Active,Y,184,131,13.54,19.08
SKU00032,Product 32,BrandD,Obsolete,Y,145,86,14.85,18.91
SKU00033,Product 33,BrandD,Active,Y,255,124,11.94,16.65
SKU00034,Product 34,BrandA,Active,N,145,65,17.06,23.64
SKU00035,Product 35,BrandC,Active,Y,4,2,6.69,9.68
SKU00036,Product 36,BrandE,Obsolete,Y,83,60,6.27,7.86
SKU00037,Product 37,BrandC,Obsolete,Y,288,190,5.66,7.98
SKU00038,Product 38,BrandE,Active,Y,70,35,13.04,15.76
SKU00039,Product 39,BrandA,Obsolete,Y,96,55,15.59,21.96
SKU00040,Product 40,BrandB,Obsolete,Y,226,168,6.96,10.36
SKU00041,Product 41,BrandD,Obsolete,Y,364,171,14.58,18.26
SKU00042,Product 42,BrandA,Active,Y,22,13,12.15,15.71
SKU00043,Product 43,BrandD,Active,Y,110,60,19.81,27.24
SKU00044,Product 44,BrandB,Active,Y,693,312,15.76,22.37
SKU00045,Product 45,BrandB,Active,Y,90,38,14.86,19.37
SKU00046,Product 46,BrandA,Obsolete,Y,73,45,13.56,18.97
SKU00047,Product 47,BrandB,Discontinued,N,244,100,19.96,29.34
SKU00048,Product 48,BrandE,Active,Y,65,29,19.71,27.95
SKU00049,Product 49,BrandB,Active,Y,62,33,13.07,18.47
SKU00050,Product 50,BrandD,Active,N,25,10,11.83,15.55
SKU00051,Product 51,BrandD,Active,Y,230,129,11.93,17.58
SKU00052,Product 52,BrandD,Discontinued,Y,167,76,11.43,14.67
SKU00053,Product 53,BrandD,Active,Y,298,161,12.97,16.36
SKU00054,Product 54,BrandE,Active,Y,80,57,9.1,11.91
SKU00055,Product 55,BrandC,Active,Y,80,52,18.9,26.37
SKU00056,Product 56,BrandA,Active,Y,756,437,12.35,18.01
SKU00057,Product 57,BrandD,Active,Y,370,162,17.63,21.85
SKU00058,Product 58,BrandB,Active,Y,181,117,12.13,17.52
SKU00059,Product 59,BrandD,Active,N,136,63,15.77,22.77
SKU00060,Product 60,BrandB,Active,Y,232,100,10.05,13.83
SKU00061,Product 61,BrandB,Active,Y,108,72,14.37,20.52
SKU00062,Product 62,BrandD,Active,N,73,56,12.48,15.66
SKU00063,Product 63,BrandE,Active,N,611,357,10.51,13.15
SKU00064,Product 64,BrandB,Active,N,267,111,18.22,26.58
SKU00065,Product 65,BrandB,Active,Y,595,448,6.69,9.03
SKU00066,Product 66,BrandD,Discontinued,Y,144,61,12.3,15.67
SKU00067,Product 67,BrandB,Active,Y,286,214,7.92,11.14
SKU00068,Product 68,BrandB,Obsolete,Y,269,150,17.92,26.3
SKU00069,Product 69,BrandD,Active,N,200,109,8.8,12.23
SKU00070,Product 70,BrandD,Active,Y,100,62,14.5,18.91
SKU00071,Product 71,BrandA,Active,Y,131,103,7.48,10.06
SKU00072,Product 72,BrandE,Active,N,336,255,11.07,15.78
SKU00073,Product 73,BrandE,Obsolete,Y,255,150,18.49,22.56
SKU00074,Product 74,BrandB,Active,Y,242,164,7.49,9.48
SKU00075,Product 75,BrandE,Active,Y,242,153,14.95,20.01
SKU00076,Product 76,BrandB,Active,Y,384,260,8.07,11.15
SKU00077,Product 77,BrandA,Active,N,446,326,11.24,14.63
SKU00078,Product 78,BrandD,Active,Y,48,20,13.11,16.91
SKU00079,Product 79,BrandD,Discontinued,Y,29,15,13.66,16.56
SKU00080,Product 80,BrandD,Active,Y,185,145,14.04,16.99
SKU00081,Product 81,BrandE,Active,Y,309,241,14.6,18.74
SKU00082,Product 82,BrandA,Obsolete,N,6,2,9.08,12.34
SKU00083,Product 83,BrandE,Active,N,35,17,11.02,15.06
SKU00084,Product 84,BrandE,Discontinued,Y,337,269,5.56,7.5
SKU00085,Product 85,BrandA,Active,N,103,62,16.53,21.87
SKU00086,Product 86,BrandA,Active,Y,149,94,17.56,22.4
SKU00087,Product 87,BrandA,Active,Y,227,106,7.99,10.55
SKU00088,Product 88,BrandA,Discontinued,Y,381,289,8.02,9.96
SKU00089,Product 89,BrandD,Active,Y,456,225,5.63,6.95
SKU00090,Product 90,BrandC,Active,Y,98,47,19.56,25.23
SKU00091,Product 91,BrandC,Active,Y,273,134,17.11,25.64
SKU00092,Product 92,BrandA,Active,Y,631,485,10.41,13.51
SKU00093,Product 93,BrandC,Active,Y,60,41,12.23,18.11
SKU00094,Product 94,BrandC,Active,Y,279,197,9.38,12.36
SKU00095,Product 95,BrandA,Active,Y,920,507,13.96,18.59
SKU00096,Product 96,BrandC,Obsolete,Y,221,169,15.76,22.68
SKU00097,Product 97,BrandE,Obsolete,Y,209,150,11.71,14.38
SKU00098,Product 98,BrandB,Active,Y,265,186,18.1,22.71
SKU00099,Product 99,BrandB,Active,Y,126,99,12.76,19.04
SKU00100,Product 100,BrandA,Active,Y,138,75,7.16,9.68
SKU00101,Product 101,BrandD,Active,Y,223,144,14.33,17.39
SKU00102,Product 102,BrandA,Active,Y,284,217,11.93,14.49
SKU00103,Product 103,BrandD,Active,Y,71,51,19.04,28.03
SKU00104,Product 104,BrandB,Active,Y,113,71,10.88,15.91
SKU00105,Product 105,BrandA,Obsolete,Y,159,68,11.04,14.77
SKU00106,Product 106,BrandE,Active,Y,259,171,14.76,18.43
SKU00107,Product 107,BrandC,Active,Y,187,114,12.9,18.69
SKU00108,Product 108,BrandD,Active,Y,267,126,10.62,13.78
