item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00001,Product 1,BrandD,Discontinued,Y,248,143,19.29,28.24
SKU00002,Product 2,BrandE,Active,Y,326,132,17.38,24.28
SKU00003,Product 3,BrandC,Obsolete,Y,329,209,14.99,19.39
SKU00004,Product 4,BrandE,Active,Y,550,257,6.83,9.72
SKU00005,Product 5,BrandE,Active,Y,60,39,12.17,17.58
SKU00006,Product 6,BrandB,Active,Y,531,374,12.59,17.43
SKU00007,Product 7,BrandC,Active,Y,520,312,8.49,11.94
SKU00008,Product 8,BrandC,Obsolete,Y,247,152,6.2,8.14
SKU00009,Product 9,BrandC,Active,Y,277,216,16.65,22.67
SKU00010,Product 10,BrandE,Active,Y,294,217,6.83,9.27
SKU00011,Product 11,BrandD,Active,Y,87,67,13.91,20.23
SKU00012,Product 12,BrandC,Obsolete,Y,390,283,19.05,27.66
SKU00013,Product 13,BrandE,Active,Y,281,125,18.14,26.3
SKU00014,Product 14,BrandB,Active,Y,58,27,9.17,11.03
SKU00015,Product 15,BrandD,Obsolete,Y,462,282,17.77,25.32
SKU00016,Product 16,BrandB,Active,Y,139,69,5.0,7.14
SKU00017,Product 17,BrandD,Active,Y,356,210,5.27,7.4
SKU00018,Product 18,BrandE,Obsolete,Y,194,108,14.04,20.03
SKU00019,Product 19,BrandA,Active,Y,97,60,10.47,15.21
SKU00020,Product 20,BrandD,Active,Y,283,198,10.8,14.48
SKU00021,Product 21,BrandB,Active,Y,194,133,13.47,18.19
SKU00022,Product 22,BrandE,Active,N,211,128,7.88,9.75
SKU00023,Product 23,BrandD,Active,Y,323,235,8.18,10.76
SKU00024,Product 24,BrandA,Active,Y,189,108,12.27,17.09
SKU00025,Product 25,BrandA,Active,N,156,118,16.31,23.39
SKU00026,Product 26,BrandC,Discontinued,Y,190,81,14.29,18.08
SKU00027,Product 27,BrandC,Active,Y,107,84,9.46,11.74
SKU00028,Product 28,BrandB,Active,Y,225,149,11.46,16.03
SKU00029,Product 29,BrandD,Discontinued,Y,241,133,7.56,9.08
SKU00030,Product 30,BrandD,Discontinued,Y,224,107,6.12,7.67
SKU00031,Product 31,BrandC,Active,Y,321,190,16.74,20.23
SKU00032,Product 32,BrandD,Obsolete,Y,142,68,8.98,11.23
SKU00033,Product 33,BrandD,Active,Y,269,125,7.67,9.62
SKU00034,Product 34,BrandA,Active,N,142,92,15.37,20.23
SKU00035,Product 35,BrandC,Active,Y,111,68,14.27,18.85
SKU00036,Product 36,BrandE,Obsolete,Y,79,53,14.5,21.2
SKU00037,Product 37,BrandC,Obsolete,Y,251,194,8.43,11.41
SKU00038,Product 38,BrandE,Active,Y,103,63,8.49,12.03
SKU00039,Product 39,BrandA,Obsolete,Y,85,54,8.31,10.23
SKU00040,Product 40,BrandB,Obsolete,Y,245,107,7.61,9.65
SKU00041,Product 41,BrandD,Obsolete,Y,413,284,14.84,20.94
SKU00042,Product 42,BrandA,Active,Y,101,57,17.72,21.54
SKU00043,Product 43,BrandD,Active,Y,269,213,15.86,21.35
SKU00044,Product 44,BrandB,Active,Y,469,342,16.88,23.29
SKU00045,Product 45,BrandB,Active,Y,87,53,11.07,15.28
SKU00046,Product 46,BrandA,Obsolete,Y,114,51,14.81,17.87
SKU00047,Product 47,BrandB,Discontinued,N,219,163,10.31,13.37
SKU00048,Product 48,BrandE,Active,Y,80,58,12.88,17.92
SKU00049,Product 49,BrandB,Active,Y,197,93,12.22,15.21
SKU00050,Product 50,BrandD,Active,N,48,25,7.65,10.78
SKU00051,Product 51,BrandD,Active,Y,325,233,10.81,15.39
SKU00052,Product 52,BrandD,Discontinued,Y,237,112,19.46,29.08
SKU00053,Product 53,BrandD,Active,Y,497,381,8.73,11.03
SKU00054,Product 54,BrandE,Active,Y,212,121,7.01,10.15
SKU00055,Product 55,BrandC,Active,Y,74,32,11.28,15.3
SKU00056,Product 56,BrandA,Active,Y,678,492,16.86,22.12
SKU00057,Product 57,BrandD,Active,Y,302,166,13.73,16.98
SKU00058,Product 58,BrandB,Active,Y,139,85,15.21,21.61
SKU00059,Product 59,BrandD,Active,N,196,87,7.85,9.98
SKU00060,Product 60,BrandB,Active,Y,236,95,14.28,18.73
SKU00061,Product 61,BrandB,Active,Y,338,221,9.85,12.0
SKU00062,Product 62,BrandD,Active,N,78,47,17.51,25.22
SKU00063,Product 63,BrandE,Active,N,538,343,14.44,20.65
SKU00064,Product 64,BrandB,Active,N,536,385,7.98,11.33
SKU00065,Product 65,BrandB,Active,Y,625,412,5.97,7.7
SKU00066,Product 66,BrandD,Discontinued,Y,158,74,5.64,7.06
SKU00067,Product 67,BrandB,Active,Y,276,150,10.57,14.71
SKU00068,Product 68,BrandB,Obsolete,Y,303,231,8.99,12.13
SKU00069,Product 69,BrandD,Active,N,306,217,14.69,18.41
SKU00070,Product 70,BrandD,Active,Y,199,124,12.49,17.56
SKU00071,Product 71,BrandA,Active,Y,293,147,8.99,13.46
SKU00072,Product 72,BrandE,Active,N,282,147,7.24,10.31
SKU00073,Product 73,BrandE,Obsolete,Y,173,120,6.91,9.83
SKU00074,Product 74,BrandB,Active,Y,277,205,17.97,26.69
SKU00075,Product 75,BrandE,Active,Y,190,127,8.65,10.91
SKU00076,Product 76,BrandB,Active,Y,298,216,14.78,20.24
SKU00077,Product 77,BrandA,Active,N,493,348,17.16,25.64
SKU00078,Product 78,BrandD,Active,Y,177,81,14.21,17.76
SKU00079,Product 79,BrandD,Discontinued,Y,46,26,17.89,25.23
SKU00080,Product 80,BrandD,Active,Y,443,204,10.89,14.98
SKU00081,Product 81,BrandE,Active,Y,309,153,19.34,26.61
SKU00082,Product 82,BrandA,Obsolete,N,46,34,7.0,9.87
SKU00083,Product 83,BrandE,Active,N,48,28,6.53,9.66
SKU00084,Product 84,BrandE,Discontinued,Y,429,263,14.88,21.35
SKU00085,Product 85,BrandA,Active,N,133,63,19.14,23.29
SKU00086,Product 86,BrandA,Active,Y,284,149,17.13,24.94
SKU00087,Product 87,BrandA,Active,Y,280,138,6.15,7.8
SKU00088,Product 88,BrandA,Discontinued,Y,457,220,9.19,12.07
SKU00089,Product 89,BrandD,Active,Y,351,230,18.95,25.36
SKU00090,Product 90,BrandC,Active,Y,314,158,8.8,11.83
SKU00091,Product 91,BrandC,Active,Y,214,140,16.72,22.25
SKU00092,Product 92,BrandA,Active,Y,507,215,17.38,25.74
SKU00093,Product 93,BrandC,Active,Y,50,23,12.43,17.55
SKU00094,Product 94,BrandC,Active,Y,307,157,10.8,15.0
SKU00095,Product 95,BrandA,Active,Y,823,526,11.75,14.28
SKU00096,Product 96,BrandC,Obsolete,Y,242,162,8.4,12.36
SKU00097,Product 97,BrandE,Obsolete,Y,411,237,18.34,27.01
SKU00098,Product 98,BrandB,Active,Y,539,312,11.76,16.86
SKU00099,Product 99,BrandB,Active,Y,111,77,18.24,21.93
SKU00100,Product 100,BrandA,Active,Y,151,61,6.59,8.02
SKU00101,Product 101,BrandD,Active,Y,320,172,19.82,25.12
SKU00102,Product 102,BrandA,Active,Y,245,178,11.65,14.44
SKU00103,Product 103,BrandD,Active,Y,336,215,5.72,7.55
SKU00104,Product 104,BrandB,Active,Y,129,69,5.57,8.23
SKU00105,Product 105,BrandA,Obsolete,Y,158,120,16.19,21.72
SKU00106,Product 106,BrandE,Active,Y,406,288,14.89,17.93
SKU00107,Product 107,BrandC,Active,Y,156,79,17.03,21.88
SKU00108,Product 108,BrandD,Active,Y,168,111,6.58,7.98
SKU00109,Product 109,BrandC,Active,Y,106,68,5.53,6.7
