item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00001,Product 1,BrandD,Discontinued,Y,277,123,13.98,20.92
SKU00002,Product 2,BrandE,Active,Y,450,297,14.79,17.93
SKU00003,Product 3,BrandC,Obsolete,Y,308,231,7.31,10.89
SKU00004,Product 4,BrandE,Active,Y,450,322,19.66,26.84
SKU00005,Product 5,BrandE,Active,Y,57,26,13.17,19.61
SKU00006,Product 6,BrandB,Active,Y,476,294,7.04,8.69
SKU00007,Product 7,BrandC,Active,Y,491,217,18.4,24.79
SKU00008,Product 8,BrandC,Obsolete,Y,267,112,6.12,7.66
SKU00009,Product 9,BrandC,Active,Y,393,260,18.62,22.63
SKU00010,Product 10,BrandE,Active,Y,312,192,19.95,27.64
SKU00011,Product 11,BrandD,Active,Y,78,34,15.51,19.58
SKU00012,Product 12,BrandC,Obsolete,Y,292,121,16.56,22.79
SKU00013,Product 13,BrandE,Active,Y,307,244,10.06,12.41
SKU00014,Product 14,BrandB,Active,Y,61,25,19.12,24.85
SKU00015,Product 15,BrandD,Obsolete,Y,530,306,12.95,18.58
SKU00016,Product 16,BrandB,Active,Y,132,79,15.99,21.28
SKU00017,Product 17,BrandD,Active,Y,381,170,18.86,26.18
SKU00018,Product 18,BrandE,Obsolete,Y,217,101,19.63,27.37
SKU00019,Product 19,BrandA,Active,Y,100,54,17.5,25.43
SKU00020,Product 20,BrandD,Active,Y,281,198,9.55,12.39
SKU00021,Product 21,BrandB,Active,Y,200,121,19.5,27.42
SKU00022,Product 22,BrandE,Active,N,234,153,14.42,21.46
SKU00023,Product 23,BrandD,Active,Y,389,309,18.96,26.91
SKU00024,Product 24,BrandA,Active,Y,204,144,15.14,20.39
SKU00025,Product 25,BrandA,Active,N,150,86,9.61,13.35
SKU00026,Product 26,BrandC,Discontinued,Y,186,108,10.55,15.0
SKU00027,Product 27,BrandC,Active,Y,119,77,13.26,18.35
SKU00028,Product 28,BrandB,Active,Y,218,145,16.85,20.3
SKU00029,Product 29,BrandD,Discontinued,Y,261,157,9.77,12.29
SKU00030,Product 30,BrandD,Discontinued,Y,286,188,13.7,19.77
SKU00031,Product 31,BrandC,Active,Y,307,126,10.18,13.05
SKU00032,Product 32,BrandD,Obsolete,Y,141,81,17.24,24.47
SKU00033,Product 33,BrandD,Active,Y,277,142,12.0,15.74
SKU00034,Product 34,BrandA,Active,N,197,89,6.15,8.34
SKU00035,Product 35,BrandC,Active,Y,113,50,7.49,9.14
SKU00036,Product 36,BrandE,Obsolete,Y,92,59,5.92,7.43
SKU00037,Product 37,BrandC,Obsolete,Y,271,165,12.49,18.57
SKU00038,Product 38,BrandE,Active,Y,93,47,6.6,9.68
SKU00039,Product 39,BrandA,Obsolete,Y,89,52,6.71,9.37
SKU00040,Product 40,BrandB,Obsolete,Y,273,163,19.12,25.58
SKU00041,Product 41,BrandD,Obsolete,Y,439,210,18.09,25.38
SKU00042,Product 42,BrandA,Active,Y,119,79,11.78,16.32
SKU00043,Product 43,BrandD,Active,Y,298,212,19.79,27.12
SKU00044,Product 44,BrandB,Active,Y,607,435,5.0,6.09
SKU00045,Product 45,BrandB,Active,Y,105,67,14.21,19.75
SKU00046,Product 46,BrandA,Obsolete,Y,115,70,14.25,20.39
SKU00047,Product 47,BrandB,Discontinued,N,246,104,11.86,17.77
SKU00048,Product 48,BrandE,Active,Y,98,50,10.95,13.18
SKU00049,Product 49,BrandB,Active,Y,163,71,11.83,16.79
SKU00050,Product 50,BrandD,Active,N,51,40,11.22,15.39
SKU00051,Product 51,BrandD,Active,Y,367,167,15.96,21.23
