item_no,item_description,vendor,item_status,active,quantity,sales_amt
SKU00001,Product 1,BrandD,Discontinued,Y,90,2286.58
SKU00002,Product 2,BrandE,Active,Y,99,2011.15
SKU00003,Product 3,BrandC,Obsolete,Y,116,1842.38
SKU00004,Product 4,BrandE,Active,Y,170,1681.05
SKU00005,Product 5,BrandE,Active,Y,24,577.4
SKU00006,Product 6,BrandB,Active,Y,170,4618.06
SKU00007,Product 7,BrandC,Active,Y,186,5457.5
SKU00008,Product 8,BrandC,Obsolete,Y,71,2015.35
SKU00009,Product 9,BrandC,Active,Y,86,2196.71
SKU00010,Product 10,BrandE,Active,Y,97,2149.17
SKU00011,Product 11,BrandD,Active,Y,29,730.57
SKU00012,Product 12,BrandC,Obsolete,Y,116,2030.68
SKU00013,Product 13,BrandE,Active,Y,84,1771.15
SKU00014,Product 14,BrandB,Active,Y,19,297.76
SKU00015,Product 15,BrandD,Obsolete,Y,149,2262.95
SKU00016,Product 16,BrandB,Active,Y,35,862.65
SKU00017,Product 17,BrandD,Active,Y,110,1978.52
SKU00018,Product 18,BrandE,Obsolete,Y,61,772.72
SKU00019,Product 19,BrandA,Active,Y,25,311.07
SKU00020,Product 20,BrandD,Active,Y,96,2582.57
SKU00021,Product 21,BrandB,Active,Y,62,1420.47
SKU00022,Product 22,BrandE,Active,N,86,1721.12
SKU00023,Product 23,BrandD,Active,Y,97,1631.6
SKU00024,Product 24,BrandA,Active,Y,66,1153.55
SKU00025,Product 25,BrandA,Active,N,50,463.18
SKU00026,Product 26,BrandC,Discontinued,Y,73,1314.59
SKU00027,Product 27,BrandC,Active,Y,27,688.5
SKU00028,Product 28,BrandB,Active,Y,62,1025.21
SKU00029,Product 29,BrandD,Discontinued,Y,62,1019.2
SKU00030,Product 30,BrandD,Discontinued,Y,66,550.82
SKU00031,Product 31,BrandC,Active,Y,80,1445.79
SKU00032,Product 32,BrandD,Obsolete,Y,33,282.4
SKU00033,Product 33,BrandD,Active,Y,55,1130.12
SKU00034,Product 34,BrandA,Active,N,28,536.18
SKU00035,Product 35,BrandC,Active,Y,37,979.77
SKU00036,Product 36,BrandE,Obsolete,Y,22,457.58
SKU00037,Product 37,BrandC,Obsolete,Y,61,922.04
SKU00038,Product 38,BrandE,Active,Y,28,542.0
SKU00039,Product 39,BrandA,Obsolete,Y,23,538.05
SKU00040,Product 40,BrandB,Obsolete,Y,63,634.23
SKU00041,Product 41,BrandD,Obsolete,Y,154,3336.2
SKU00042,Product 42,BrandA,Active,Y,37,1042.13
SKU00043,Product 43,BrandD,Active,Y,100,1458.09
SKU00044,Product 44,BrandB,Active,Y,144,3137.15
SKU00045,Product 45,BrandB,Active,Y,27,703.87
SKU00046,Product 46,BrandA,Obsolete,Y,31,597.05
SKU00047,Product 47,BrandB,Discontinued,N,57,1356.35
SKU00048,Product 48,BrandE,Active,Y,24,356.21
SKU00049,Product 49,BrandB,Active,Y,65,957.66
SKU00050,Product 50,BrandD,Active,N,17,385.68
SKU00051,Product 51,BrandD,Active,Y,89,2093.19
SKU00052,Product 52,BrandD,Discontinued,Y,58,1659.62
SKU00053,Product 53,BrandD,Active,Y,166,2149.11
SKU00054,Product 54,BrandE,Active,Y,46,841.84
SKU00055,Product 55,BrandC,Active,Y,22,297.25
SKU00056,Product 56,BrandA,Active,Y,206,2010.98
SKU00057,Product 57,BrandD,Active,Y,85,1434.04
SKU00058,Product 58,BrandB,Active,Y,32,519.35
SKU00059,Product 59,BrandD,Active,N,56,781.17
SKU00060,Product 60,BrandB,Active,Y,88,1278.98
SKU00061,Product 61,BrandB,Active,Y,110,1752.2
SKU00062,Product 62,BrandD,Active,N,27,803.37
SKU00063,Product 63,BrandE,Active,N,132,3329.71
SKU00064,Product 64,BrandB,Active,N,167,1598.33
SKU00065,Product 65,BrandB,Active,Y,190,5166.69
