item_no,item_description,vendor,item_status,active,quantity,sales_amt
SKU00001,Product 1,BrandD,Discontinued,Y,109,2482.25
SKU00002,Product 2,BrandE,Active,Y,171,4537.3
SKU00003,Product 3,BrandC,Obsolete,Y,102,1377.9
SKU00004,Product 4,BrandE,Active,Y,210,5784.18
SKU00005,Product 5,BrandE,Active,Y,28,689.46
SKU00006,Product 6,BrandB,Active,Y,238,5720.59
SKU00007,Product 7,BrandC,Active,Y,246,3843.48
SKU00008,Product 8,BrandC,Obsolete,Y,100,2752.85
SKU00009,Product 9,BrandC,Active,Y,91,2005.23
SKU00010,Product 10,BrandE,Active,Y,160,4278.47
SKU00011,Product 11,BrandD,Active,Y,44,701.42
SKU00012,Product 12,BrandC,Obsolete,Y,168,1882.33
SKU00013,Product 13,BrandE,Active,Y,106,1623.01
SKU00014,Product 14,BrandB,Active,Y,23,414.36
SKU00015,Product 15,BrandD,Obsolete,Y,207,4085.14
SKU00016,Product 16,BrandB,Active,Y,58,1115.79
SKU00017,Product 17,BrandD,Active,Y,154,3082.03
SKU00018,Product 18,BrandE,Obsolete,Y,104,2757.82
SKU00019,Product 19,BrandA,Active,Y,48,563.63
SKU00020,Product 20,BrandD,Active,Y,101,1510.27
SKU00021,Product 21,BrandB,Active,Y,85,2341.7
SKU00022,Product 22,BrandE,Active,N,84,1707.73
SKU00023,Product 23,BrandD,Active,Y,146,3041.85
SKU00024,Product 24,BrandA,Active,Y,81,1499.91
SKU00025,Product 25,BrandA,Active,N,98,1967.59
SKU00026,Product 26,BrandC,Discontinued,Y,88,1087.48
SKU00027,Product 27,BrandC,Active,Y,45,901.4
SKU00028,Product 28,BrandB,Active,Y,124,3712.29
SKU00029,Product 29,BrandD,Discontinued,Y,108,2208.93
SKU00030,Product 30,BrandD,Discontinued,Y,75,673.26
SKU00031,Product 31,BrandC,Active,Y,136,3470.94
SKU00032,Product 32,BrandD,Obsolete,Y,67,1120.4
SKU00033,Product 33,BrandD,Active,Y,125,1422.61
SKU00034,Product 34,BrandA,Active,N,71,1915.26
SKU00035,Product 35,BrandC,Active,Y,49,605.42
SKU00036,Product 36,BrandE,Obsolete,Y,35,988.99
SKU00037,Product 37,BrandC,Obsolete,Y,86,1523.88
SKU00038,Product 38,BrandE,Active,Y,55,1338.78
SKU00039,Product 39,BrandA,Obsolete,Y,35,701.19
SKU00040,Product 40,BrandB,Obsolete,Y,90,1228.12
SKU00041,Product 41,BrandD,Obsolete,Y,250,5691.0
SKU00042,Product 42,BrandA,Active,Y,55,1599.07
SKU00043,Product 43,BrandD,Active,Y,109,2717.59
SKU00044,Product 44,BrandB,Active,Y,146,3108.11
SKU00045,Product 45,BrandB,Active,Y,34,1012.99
SKU00046,Product 46,BrandA,Obsolete,Y,61,844.07
SKU00047,Product 47,BrandB,Discontinued,N,97,909.04
SKU00048,Product 48,BrandE,Active,Y,28,243.79
SKU00049,Product 49,BrandB,Active,Y,95,2245.34
SKU00050,Product 50,BrandD,Active,N,20,525.3
SKU00051,Product 51,BrandD,Active,Y,127,2790.47
SKU00052,Product 52,BrandD,Discontinued,Y,94,2623.6
SKU00053,Product 53,BrandD,Active,Y,258,6025.71
SKU00054,Product 54,BrandE,Active,Y,99,1599.94
SKU00055,Product 55,BrandC,Active,Y,25,299.69
SKU00056,Product 56,BrandA,Active,Y,310,8786.1
SKU00057,Product 57,BrandD,Active,Y,133,1367.13
SKU00058,Product 58,BrandB,Active,Y,56,1116.96
SKU00059,Product 59,BrandD,Active,N,80,1192.65
SKU00060,Product 60,BrandB,Active,Y,89,1243.43
SKU00061,Product 61,BrandB,Active,Y,132,2931.5
SKU00062,Product 62,BrandD,Active,N,35,458.05
SKU00063,Product 63,BrandE,Active,N,224,6307.85
SKU00064,Product 64,BrandB,Active,N,251,4250.17
SKU00065,Product 65,BrandB,Active,Y,239,5473.64
SKU00066,Product 66,BrandD,Discontinued,Y,76,1824.81
SKU00067,Product 67,BrandB,Active,Y,143,3292.53
SKU00068,Product 68,BrandB,Obsolete,Y,131,3651.6
SKU00069,Product 69,BrandD,Active,N,143,1871.14
SKU00070,Product 70,BrandD,Active,Y,93,920.07
SKU00071,Product 71,BrandA,Active,Y,118,1087.99
SKU00072,Product 72,BrandE,Active,N,133,3632.57
SKU00073,Product 73,BrandE,Obsolete,Y,49,1441.2
SKU00074,Product 74,BrandB,Active,Y,72,1055.2
SKU00075,Product 75,BrandE,Active,Y,78,1814.07
