item_no,item_description,vendor,item_status,active,quantity,sales_amt
SKU00001,Product 1,BrandD,Discontinued,Y,104,2483.48
SKU00002,Product 2,BrandE,Active,Y,134,1308.1
SKU00003,Product 3,BrandC,Obsolete,Y,157,1888.67
SKU00004,Product 4,BrandE,Active,Y,306,6415.07
SKU00005,Product 5,BrandE,Active,Y,26,528.32
SKU00006,Product 6,BrandB,Active,Y,250,6064.11
SKU00007,Product 7,BrandC,Active,Y,287,7426.84
SKU00008,Product 8,BrandC,Obsolete,Y,84,909.62
SKU00009,Product 9,BrandC,Active,Y,113,949.7
SKU00010,Product 10,BrandE,Active,Y,109,2525.75
SKU00011,Product 11,BrandD,Active,Y,39,570.59
SKU00012,Product 12,BrandC,Obsolete,Y,162,3527.01
SKU00013,Product 13,BrandE,Active,Y,98,1108.57
SKU00014,Product 14,BrandB,Active,Y,23,421.33
SKU00015,Product 15,BrandD,Obsolete,Y,214,4086.83
SKU00016,Product 16,BrandB,Active,Y,45,939.23
SKU00017,Product 17,BrandD,Active,Y,125,2411.22
SKU00018,Product 18,BrandE,Obsolete,Y,67,1266.65
SKU00019,Product 19,BrandA,Active,Y,41,628.13
SKU00020,Product 20,BrandD,Active,Y,134,1281.84
SKU00021,Product 21,BrandB,Active,Y,54,538.35
SKU00022,Product 22,BrandE,Active,N,86,1508.71
SKU00023,Product 23,BrandD,Active,Y,111,1756.85
SKU00024,Product 24,BrandA,Active,Y,87,1683.88
SKU00025,Product 25,BrandA,Active,N,60,882.39
SKU00026,Product 26,BrandC,Discontinued,Y,78,1804.45
SKU00027,Product 27,BrandC,Active,Y,43,1161.3
SKU00028,Product 28,BrandB,Active,Y,105,1530.37
SKU00029,Product 29,BrandD,Discontinued,Y,126,1542.95
SKU00030,Product 30,BrandD,Discontinued,Y,74,781.14
SKU00031,Product 31,BrandC,Active,Y,110,2371.33
SKU00032,Product 32,BrandD,Obsolete,Y,60,1065.89
SKU00033,Product 33,BrandD,Active,Y,95,1152.95
SKU00034,Product 34,BrandA,Active,N,65,1453.99
SKU00035,Product 35,BrandC,Active,Y,52,585.86
SKU00036,Product 36,BrandE,Obsolete,Y,29,585.64
SKU00037,Product 37,BrandC,Obsolete,Y,89,1744.16
SKU00038,Product 38,BrandE,Active,Y,39,941.97
SKU00039,Product 39,BrandA,Obsolete,Y,35,322.43
SKU00040,Product 40,BrandB,Obsolete,Y,102,2808.39
SKU00041,Product 41,BrandD,Obsolete,Y,109,2557.77
SKU00042,Product 42,BrandA,Active,Y,35,446.42
SKU00043,Product 43,BrandD,Active,Y,101,1215.53
SKU00044,Product 44,BrandB,Active,Y,165,2886.93
SKU00045,Product 45,BrandB,Active,Y,20,519.73
SKU00046,Product 46,BrandA,Obsolete,Y,33,875.98
SKU00047,Product 47,BrandB,Discontinued,N,70,1361.5
SKU00048,Product 48,BrandE,Active,Y,32,862.01
SKU00049,Product 49,BrandB,Active,Y,74,600.86
SKU00050,Product 50,BrandD,Active,N,18,157.93
SKU00051,Product 51,BrandD,Active,Y,146,4096.77
SKU00052,Product 52,BrandD,Discontinued,Y,106,2656.07
SKU00053,Product 53,BrandD,Active,Y,203,3636.85
SKU00054,Product 54,BrandE,Active,Y,86,2113.83
SKU00055,Product 55,BrandC,Active,Y,26,754.63
SKU00056,Product 56,BrandA,Active,Y,241,6021.62
SKU00057,Product 57,BrandD,Active,Y,90,2387.9
SKU00058,Product 58,BrandB,Active,Y,54,1335.6
SKU00059,Product 59,BrandD,Active,N,88,1029.66
SKU00060,Product 60,BrandB,Active,Y,114,3002.6
SKU00061,Product 61,BrandB,Active,Y,130,1598.01
