item_no,item_description,vendor,item_status,active,quantity,sales_amt
SKU00001,Product 1,BrandD,Discontinued,Y,80,2379.8
SKU00002,Product 2,BrandE,Active,Y,79,675.86
SKU00003,Product 3,BrandC,Obsolete,Y,102,1382.94
SKU00004,Product 4,BrandE,Active,Y,208,4043.86
SKU00005,Product 5,BrandE,Active,Y,21,409.14
SKU00006,Product 6,BrandB,Active,Y,136,2850.09
SKU00007,Product 7,BrandC,Active,Y,180,4416.64
SKU00008,Product 8,BrandC,Obsolete,Y,84,1824.19
SKU00009,Product 9,BrandC,Active,Y,92,1950.97
SKU00010,Product 10,BrandE,Active,Y,93,853.49
SKU00011,Product 11,BrandD,Active,Y,30,488.51
SKU00012,Product 12,BrandC,Obsolete,Y,136,1782.31
SKU00013,Product 13,BrandE,Active,Y,80,1107.05
SKU00014,Product 14,BrandB,Active,Y,20,403.91
SKU00015,Product 15,BrandD,Obsolete,Y,142,1759.25
SKU00016,Product 16,BrandB,Active,Y,34,491.87
SKU00017,Product 17,BrandD,Active,Y,103,1361.23
SKU00018,Product 18,BrandE,Obsolete,Y,47,1356.75
SKU00019,Product 19,BrandA,Active,Y,35,1007.39
SKU00020,Product 20,BrandD,Active,Y,94,2013.36
SKU00021,Product 21,BrandB,Active,Y,58,1643.69
SKU00022,Product 22,BrandE,Active,N,81,2048.32
SKU00023,Product 23,BrandD,Active,Y,103,2160.82
SKU00024,Product 24,BrandA,Active,Y,47,382.65
SKU00025,Product 25,BrandA,Active,N,46,1149.79
SKU00026,Product 26,BrandC,Discontinued,Y,75,1759.11
SKU00027,Product 27,BrandC,Active,Y,30,646.07
SKU00028,Product 28,BrandB,Active,Y,74,1829.97
SKU00029,Product 29,BrandD,Discontinued,Y,85,1639.16
SKU00030,Product 30,BrandD,Discontinued,Y,77,1808.72
SKU00031,Product 31,BrandC,Active,Y,139,3971.76
SKU00032,Product 32,BrandD,Obsolete,Y,37,601.91
SKU00033,Product 33,BrandD,Active,Y,71,1674.09
SKU00034,Product 34,BrandA,Active,N,37,683.21
SKU00035,Product 35,BrandC,Active,Y,34,776.45
SKU00036,Product 36,BrandE,Obsolete,Y,29,718.73
SKU00037,Product 37,BrandC,Obsolete,Y,67,603.0
SKU00038,Product 38,BrandE,Active,Y,38,844.56
SKU00039,Product 39,BrandA,Obsolete,Y,27,350.68
SKU00040,Product 40,BrandB,Obsolete,Y,65,1478.15
SKU00041,Product 41,BrandD,Obsolete,Y,96,1757.11
SKU00042,Product 42,BrandA,Active,Y,25,625.45
SKU00043,Product 43,BrandD,Active,Y,77,825.04
SKU00044,Product 44,BrandB,Active,Y,145,3157.97
SKU00045,Product 45,BrandB,Active,Y,33,466.17
SKU00046,Product 46,BrandA,Obsolete,Y,40,1070.62
SKU00047,Product 47,BrandB,Discontinued,N,61,1733.89
SKU00048,Product 48,BrandE,Active,Y,27,807.86
SKU00049,Product 49,BrandB,Active,Y,78,1989.95
SKU00050,Product 50,BrandD,Active,N,20,491.64
SKU00051,Product 51,BrandD,Active,Y,98,1248.62
SKU00052,Product 52,BrandD,Discontinued,Y,86,1323.73
SKU00053,Product 53,BrandD,Active,Y,190,3466.55
SKU00054,Product 54,BrandE,Active,Y,52,1300.75
SKU00055,Product 55,BrandC,Active,Y,22,618.84
SKU00056,Product 56,BrandA,Active,Y,286,3478.06
SKU00057,Product 57,BrandD,Active,Y,91,2574.58
SKU00058,Product 58,BrandB,Active,Y,25,582.59
SKU00059,Product 59,BrandD,Active,N,61,1307.65
SKU00060,Product 60,BrandB,Active,Y,87,1078.5
SKU00061,Product 61,BrandB,Active,Y,107,986.71
SKU00062,Product 62,BrandD,Active,N,27,553.67
SKU00063,Product 63,BrandE,Active,N,195,4355.0
SKU00064,Product 64,BrandB,Active,N,161,2034.59
SKU00065,Product 65,BrandB,Active,Y,182,3684.05
SKU00066,Product 66,BrandD,Discontinued,Y,51,1368.99
SKU00067,Product 67,BrandB,Active,Y,90,2373.43
SKU00068,Product 68,BrandB,Obsolete,Y,97,2754.98
SKU00069,Product 69,BrandD,Active,N,98,1572.85
SKU00070,Product 70,BrandD,Active,Y,56,839.84
SKU00071,Product 71,BrandA,Active,Y,103,2522.2
SKU00072,Product 72,BrandE,Active,N,97,1695.99
SKU00073,Product 73,BrandE,Obsolete,Y,44,436.75
SKU00074,Product 74,BrandB,Active,Y,83,1180.39
SKU00075,Product 75,BrandE,Active,Y,61,1049.74
SKU00076,Product 76,BrandB,Active,Y,87,1255.88
SKU00077,Product 77,BrandA,Active,N,171,2617.76
SKU00078,Product 78,BrandD,Active,Y,56,809.93
SKU00079,Product 79,BrandD,Discontinued,Y,15,133.69
SKU00080,Product 80,BrandD,Active,Y,132,2906.12
SKU00081,Product 81,BrandE,Active,Y,69,1458.69
SKU00082,Product 82,BrandA,Obsolete,N,10,223.74
SKU00083,Product 83,BrandE,Active,N,17,207.92
SKU00084,Product 84,BrandE,Discontinued,Y,141,2045.12
SKU00085,Product 85,BrandA,Active,N,45,973.42
SKU00086,Product 86,BrandA,Active,Y,92,1949.65
SKU00087,Product 87,BrandA,Active,Y,91,1741.67
SKU00088,Product 88,BrandA,Discontinued,Y,166,2607.71
SKU00089,Product 89,BrandD,Active,Y,119,3342.05
SKU00090,Product 90,BrandC,Active,Y,115,1779.62
SKU00091,Product 91,BrandC,Active,Y,70,1261.65
SKU00092,Product 92,BrandA,Active,Y,153,3506.53
SKU00093,Product 93,BrandC,Active,Y,16,319.14
SKU00094,Product 94,BrandC,Active,Y,85,1328.68
SKU00095,Product 95,BrandA,Active,Y,246,4325.71
SKU00096,Product 96,BrandC,Obsolete,Y,79,2012.81
SKU00097,Product 97,BrandE,Obsolete,Y,133,1877.81
SKU00098,Product 98,BrandB,Active,Y,168,1869.78
SKU00099,Product 99,BrandB,Active,Y,28,416.91
SKU00100,Product 100,BrandA,Active,Y,52,1387.87
SKU00101,Product 101,BrandD,Active,Y,114,1135.19
SKU00102,Product 102,BrandA,Active,Y,97,2892.28
SKU00103,Product 103,BrandD,Active,Y,113,2248.93
SKU00104,Product 104,BrandB,Active,Y,41,1216.33
SKU00105,Product 105,BrandA,Obsolete,Y,42,1203.63
SKU00106,Product 106,BrandE,Active,Y,157,2820.02
SKU00107,Product 107,BrandC,Active,Y,51,630.71
SKU00108,Product 108,BrandD,Active,Y,55,639.51
SKU00109,Product 109,BrandC,Active,Y,32,424.95
SKU00110,Product 110,BrandC,Active,N,35,826.8
SKU00111,Product 111,BrandA,Active,Y,148,2072.73
SKU00112,Product 112,BrandC,Active,Y,40,620.45
SKU00113,Product 113,BrandE,Active,Y,51,911.53
SKU00114,Product 114,BrandC,Active,N,96,2696.75
SKU00115,Product 115,BrandA,Active,N,64,778.67
SKU00116,Product 116,BrandE,Active,Y,90,729.95
SKU00117,Product 117,BrandB,Active,Y,38,354.24
SKU00118,Product 118,BrandC,Active,Y,59,1646.39
SKU00119,Product 119,BrandA,Active,Y,38,845.32
SKU00120,Product 120,BrandB,Obsolete,Y,84,1176.58
SKU00121,Product 121,BrandB,Active,Y,50,594.91
SKU00122,Product 122,BrandD,Active,N,78,1128.96
SKU00123,Product 123,BrandE,Active,Y,82,863.09
SKU00124,Product 124,BrandC,Active,Y,85,2440.67
