item_no,item_description,vendor,item_status,active,quantity,sales_amt
SKU00001,Product 1,BrandD,Discontinued,Y,76,2242.32
SKU00002,Product 2,BrandE,Active,Y,90,1117.7
SKU00003,Product 3,BrandC,Obsolete,Y,70,1627.52
SKU00004,Product 4,BrandE,Active,Y,158,4119.33
SKU00005,Product 5,BrandE,Active,Y,19,169.21
SKU00006,Product 6,BrandB,Active,Y,145,3298.53
SKU00007,Product 7,BrandC,Active,Y,151,4369.05
SKU00008,Product 8,BrandC,Obsolete,Y,72,772.76
SKU00009,Product 9,BrandC,Active,Y,100,2771.69
SKU00010,Product 10,BrandE,Active,Y,84,1771.15
SKU00011,Product 11,BrandD,Active,Y,32,690.09
SKU00012,Product 12,BrandC,Obsolete,Y,69,1482.45
SKU00013,Product 13,BrandE,Active,Y,101,1472.01
SKU00014,Product 14,BrandB,Active,Y,21,600.06
SKU00015,Product 15,BrandD,Obsolete,Y,157,4528.15
SKU00016,Product 16,BrandB,Active,Y,29,630.94
SKU00017,Product 17,BrandD,Active,Y,123,3103.94
SKU00018,Product 18,BrandE,Obsolete,Y,58,1245.24
SKU00019,Product 19,BrandA,Active,Y,18,335.82
SKU00020,Product 20,BrandD,Active,Y,101,2276.34
SKU00021,Product 21,BrandB,Active,Y,71,1431.79
SKU00022,Product 22,BrandE,Active,N,45,951.5
SKU00023,Product 23,BrandD,Active,Y,100,2524.43
SKU00024,Product 24,BrandA,Active,Y,68,1263.43
SKU00025,Product 25,BrandA,Active,N,55,489.31
SKU00026,Product 26,BrandC,Discontinued,Y,64,742.91
SKU00027,Product 27,BrandC,Active,Y,19,335.34
SKU00028,Product 28,BrandB,Active,Y,75,1795.96
SKU00029,Product 29,BrandD,Discontinued,Y,70,1473.65
SKU00030,Product 30,BrandD,Discontinued,Y,77,1717.6
SKU00031,Product 31,BrandC,Active,Y,100,1854.41
SKU00032,Product 32,BrandD,Obsolete,Y,42,904.95
SKU00033,Product 33,BrandD,Active,Y,89,1356.22
SKU00034,Product 34,BrandA,Active,N,41,752.1
SKU00035,Product 35,BrandC,Active,Y,33,804.35
SKU00036,Product 36,BrandE,Obsolete,Y,22,597.97
SKU00037,Product 37,BrandC,Obsolete,Y,57,999.8
SKU00038,Product 38,BrandE,Active,Y,33,295.7
SKU00039,Product 39,BrandA,Obsolete,Y,22,254.25
SKU00040,Product 40,BrandB,Obsolete,Y,71,600.59
SKU00041,Product 41,BrandD,Obsolete,Y,129,2885.96
SKU00042,Product 42,BrandA,Active,Y,21,321.53
SKU00043,Product 43,BrandD,Active,Y,58,1156.2
SKU00044,Product 44,BrandB,Active,Y,134,2526.18
SKU00045,Product 45,BrandB,Active,Y,28,274.22
SKU00046,Product 46,BrandA,Obsolete,Y,38,641.13
SKU00047,Product 47,BrandB,Discontinued,N,50,642.62
SKU00048,Product 48,BrandE,Active,Y,26,447.32
SKU00049,Product 49,BrandB,Active,Y,57,711.29
SKU00050,Product 50,BrandD,Active,N,13,344.37
SKU00051,Product 51,BrandD,Active,Y,88,1041.24
SKU00052,Product 52,BrandD,Discontinued,Y,80,2330.97
SKU00053,Product 53,BrandD,Active,Y,155,2658.24
SKU00054,Product 54,BrandE,Active,Y,64,1703.51
SKU00055,Product 55,BrandC,Active,Y,23,502.15
SKU00056,Product 56,BrandA,Active,Y,232,5609.23
SKU00057,Product 57,BrandD,Active,Y,89,2215.2
SKU00058,Product 58,BrandB,Active,Y,42,802.48
SKU00059,Product 59,BrandD,Active,N,69,1376.73
SKU00060,Product 60,BrandB,Active,Y,67,1293.63
SKU00061,Product 61,BrandB,Active,Y,111,2324.04
SKU00062,Product 62,BrandD,Active,N,22,190.23
SKU00063,Product 63,BrandE,Active,N,151,2521.9
SKU00064,Product 64,BrandB,Active,N,158,3371.11
SKU00065,Product 65,BrandB,Active,Y,202,4272.28
SKU00066,Product 66,BrandD,Discontinued,Y,56,1424.92
SKU00067,Product 67,BrandB,Active,Y,84,1882.46
SKU00068,Product 68,BrandB,Obsolete,Y,70,2087.89
SKU00069,Product 69,BrandD,Active,N,101,1438.72
SKU00070,Product 70,BrandD,Active,Y,82,1303.91
SKU00071,Product 71,BrandA,Active,Y,89,1463.57
SKU00072,Product 72,BrandE,Active,N,63,1149.62
SKU00073,Product 73,BrandE,Obsolete,Y,53,1398.77
SKU00074,Product 74,BrandB,Active,Y,83,1094.56
SKU00075,Product 75,BrandE,Active,Y,56,1404.03
SKU00076,Product 76,BrandB,Active,Y,102,1725.52
SKU00077,Product 77,BrandA,Active,N,178,3780.87
SKU00078,Product 78,BrandD,Active,Y,59,1293.04
SKU00079,Product 79,BrandD,Discontinued,Y,14,226.84
SKU00080,Product 80,BrandD,Active,Y,155,2988.02
SKU00081,Product 81,BrandE,Active,Y,72,1230.24
SKU00082,Product 82,BrandA,Obsolete,N,12,114.25
SKU00083,Product 83,BrandE,Active,N,13,229.03
SKU00084,Product 84,BrandE,Discontinued,Y,128,1298.26
SKU00085,Product 85,BrandA,Active,N,43,727.15
SKU00086,Product 86,BrandA,Active,Y,83,1746.67
SKU00087,Product 87,BrandA,Active,Y,73,1514.54
SKU00088,Product 88,BrandA,Discontinued,Y,157,3544.69
SKU00089,Product 89,BrandD,Active,Y,102,1029.77
SKU00090,Product 90,BrandC,Active,Y,96,2145.28
SKU00091,Product 91,BrandC,Active,Y,70,1040.71
SKU00092,Product 92,BrandA,Active,Y,153,2567.19
SKU00093,Product 93,BrandC,Active,Y,15,403.14
SKU00094,Product 94,BrandC,Active,Y,106,869.06
SKU00095,Product 95,BrandA,Active,Y,253,5299.1
SKU00096,Product 96,BrandC,Obsolete,Y,82,1736.08
SKU00097,Product 97,BrandE,Obsolete,Y,133,2224.63
SKU00098,Product 98,BrandB,Active,Y,211,2788.28
SKU00099,Product 99,BrandB,Active,Y,35,460.7
SKU00100,Product 100,BrandA,Active,Y,50,1372.08
SKU00101,Product 101,BrandD,Active,Y,112,1985.15
SKU00102,Product 102,BrandA,Active,Y,74,1130.69
SKU00103,Product 103,BrandD,Active,Y,91,1626.45
SKU00104,Product 104,BrandB,Active,Y,36,818.16
SKU00105,Product 105,BrandA,Obsolete,Y,44,493.09
SKU00106,Product 106,BrandE,Active,Y,104,1860.3
SKU00107,Product 107,BrandC,Active,Y,49,1025.74
SKU00108,Product 108,BrandD,Active,Y,46,1327.97
SKU00109,Product 109,BrandC,Active,Y,33,447.34
SKU00110,Product 110,BrandC,Active,N,34,540.72
SKU00111,Product 111,BrandA,Active,Y,126,2059.58
SKU00112,Product 112,BrandC,Active,Y,49,1044.77
SKU00113,Product 113,BrandE,Active,Y,36,570.53
SKU00114,Product 114,BrandC,Active,N,82,1618.46
SKU00115,Product 115,BrandA,Active,N,79,1990.75
SKU00116,Product 116,BrandE,Active,Y,103,2422.4
SKU00117,Product 117,BrandB,Active,Y,46,819.73
SKU00118,Product 118,BrandC,Active,Y,63,1701.8
SKU00119,Product 119,BrandA,Active,Y,32,648.93
SKU00120,Product 120,BrandB,Obsolete,Y,69,1371.58
SKU00121,Product 121,BrandB,Active,Y,38,332.58
SKU00122,Product 122,BrandD,Active,N,105,3119.26
SKU00123,Product 123,BrandE,Active,Y,80,856.43
SKU00124,Product 124,BrandC,Active,Y,68,889.77
SKU00125,Product 125,BrandA,Active,Y,82,749.26
SKU00126,Product 126,BrandD,Active,N,109,2406.73
SKU00127,Product 127,BrandE,Discontinued,N,33,427.13
SKU00128,Product 128,BrandD,Obsolete,Y,23,275.09
SKU00129,Product 129,BrandE,Obsolete,Y,58,577.0
SKU00130,Product 130,BrandE,Active,Y,18,184.91
SKU00131,Product 131,BrandC,Active,Y,83,1731.61
SKU00132,Product 132,BrandE,Active,Y,104,2406.62
SKU00133,Product 133,BrandD,Active,Y,212,3549.38
SKU00134,Product 134,BrandE,Active,Y,182,3377.51
SKU00135,Product 135,BrandC,Obsolete,Y,49,1131.47
SKU00136,Product 136,BrandC,Active,Y,74,620.29
SKU00137,Product 137,BrandD,Discontinued,Y,54,815.88
SKU00138,Product 138,BrandB,Active,Y,92,2705.55
SKU00139,Product 139,BrandB,Obsolete,Y,88,1827.1
SKU00140,Product 140,BrandE,Active,Y,19,258.27
SKU00141,Product 141,BrandA,Active,Y,234,4557.87
SKU00142,Product 142,BrandE,Active,Y,66,1025.53
SKU00143,Product 143,BrandD,Active,Y,70,1379.66
SKU00144,Product 144,BrandD,Active,Y,86,925.9
SKU00145,Product 145,BrandD,Discontinued,Y,67,731.62
SKU00146,Product 146,BrandD,Active,Y,80,892.63
SKU00147,Product 147,BrandD,Active,N,21,602.2
SKU00148,Product 148,BrandC,Active,Y,45,1085.57
SKU00149,Product 149,BrandB,Active,Y,99,1145.67
SKU00150,Product 150,BrandD,Active,N,91,1105.07
SKU00151,Product 151,BrandA,Active,Y,116,2793.08
SKU00152,Product 152,BrandA,Active,N,99,1132.12
SKU00153,Product 153,BrandA,Active,Y,77,1013.35
SKU00154,Product 154,BrandA,Active,Y,46,1342.91
SKU00155,Product 155,BrandC,Active,Y,60,817.0
SKU00156,Product 156,BrandA,Active,Y,93,2097.7
SKU00157,Product 157,BrandD,Obsolete,Y,48,1417.43
SKU00158,Product 158,BrandE,Active,N,92,1493.58
SKU00159,Product 159,BrandA,Active,Y,76,637.29
SKU00160,Product 160,BrandC,Active,Y,42,561.59
SKU00161,Product 161,BrandC,Active,Y,53,1392.8
SKU00162,Product 162,BrandA,Obsolete,Y,41,1107.88
SKU00163,Product 163,BrandE,Active,Y,35,871.76
SKU00164,Product 164,BrandA,Active,Y,142,1489.36
SKU00165,Product 165,BrandC,Active,Y,35,892.54
