item_no,item_description,vendor,item_status,active,quantity,sales_amt
SKU00001,Product 1,BrandD,Discontinued,Y,78,1768.51
SKU00002,Product 2,BrandE,Active,Y,115,1427.8
SKU00003,Product 3,BrandC,Obsolete,Y,110,3009.97
SKU00004,Product 4,BrandE,Active,Y,196,2408.83
SKU00005,Product 5,BrandE,Active,Y,22,327.72
SKU00006,Product 6,BrandB,Active,Y,201,4352.1
SKU00007,Product 7,BrandC,Active,Y,103,2270.5
SKU00008,Product 8,BrandC,Obsolete,Y,91,2128.17
SKU00009,Product 9,BrandC,Active,Y,91,952.25
SKU00010,Product 10,BrandE,Active,Y,92,2455.32
SKU00011,Product 11,BrandD,Active,Y,34,670.57
SKU00012,Product 12,BrandC,Obsolete,Y,166,3049.27
SKU00013,Product 13,BrandE,Active,Y,108,3195.09
SKU00014,Product 14,BrandB,Active,Y,19,461.48
SKU00015,Product 15,BrandD,Obsolete,Y,136,1441.07
SKU00016,Product 16,BrandB,Active,Y,27,665.38
SKU00017,Product 17,BrandD,Active,Y,128,1292.22
SKU00018,Product 18,BrandE,Obsolete,Y,74,636.72
SKU00019,Product 19,BrandA,Active,Y,34,573.91
SKU00020,Product 20,BrandD,Active,Y,113,3374.04
SKU00021,Product 21,BrandB,Active,Y,54,639.76
SKU00022,Product 22,BrandE,Active,N,72,1641.47
SKU00023,Product 23,BrandD,Active,Y,109,1287.8
SKU00024,Product 24,BrandA,Active,Y,65,1556.45
SKU00025,Product 25,BrandA,Active,N,64,1223.54
SKU00026,Product 26,BrandC,Discontinued,Y,65,1492.36
SKU00027,Product 27,BrandC,Active,Y,36,448.68
SKU00028,Product 28,BrandB,Active,Y,68,1659.46
SKU00029,Product 29,BrandD,Discontinued,Y,101,3020.27
SKU00030,Product 30,BrandD,Discontinued,Y,62,1403.95
SKU00031,Product 31,BrandC,Active,Y,103,1942.23
SKU00032,Product 32,BrandD,Obsolete,Y,62,1755.21
SKU00033,Product 33,BrandD,Active,Y,101,843.22
SKU00034,Product 34,BrandA,Active,N,49,1178.86
SKU00035,Product 35,BrandC,Active,Y,39,1074.54
SKU00036,Product 36,BrandE,Obsolete,Y,24,224.56
SKU00037,Product 37,BrandC,Obsolete,Y,87,1557.42
SKU00038,Product 38,BrandE,Active,Y,34,425.13
SKU00039,Product 39,BrandA,Obsolete,Y,31,634.37
SKU00040,Product 40,BrandB,Obsolete,Y,66,1471.14
SKU00041,Product 41,BrandD,Obsolete,Y,153,2242.63
SKU00042,Product 42,BrandA,Active,Y,41,742.9
SKU00043,Product 43,BrandD,Active,Y,91,1287.24
SKU00044,Product 44,BrandB,Active,Y,180,2902.79
SKU00045,Product 45,BrandB,Active,Y,32,368.32
SKU00046,Product 46,BrandA,Obsolete,Y,36,989.36
SKU00047,Product 47,BrandB,Discontinued,N,64,526.09
SKU00048,Product 48,BrandE,Active,Y,24,657.91
SKU00049,Product 49,BrandB,Active,Y,72,1481.54
SKU00050,Product 50,BrandD,Active,N,17,260.04
SKU00051,Product 51,BrandD,Active,Y,135,3227.48
SKU00052,Product 52,BrandD,Discontinued,Y,93,1782.86
SKU00053,Product 53,BrandD,Active,Y,195,3701.18
SKU00054,Product 54,BrandE,Active,Y,77,802.58
SKU00055,Product 55,BrandC,Active,Y,22,364.53
SKU00056,Product 56,BrandA,Active,Y,249,3312.55
SKU00057,Product 57,BrandD,Active,Y,107,892.95
SKU00058,Product 58,BrandB,Active,Y,40,636.89
SKU00059,Product 59,BrandD,Active,N,81,808.06
SKU00060,Product 60,BrandB,Active,Y,96,1310.43
SKU00061,Product 61,BrandB,Active,Y,98,983.47
SKU00062,Product 62,BrandD,Active,N,25,255.52
SKU00063,Product 63,BrandE,Active,N,173,2141.44
SKU00064,Product 64,BrandB,Active,N,205,6149.32
SKU00065,Product 65,BrandB,Active,Y,235,1891.29
SKU00066,Product 66,BrandD,Discontinued,Y,56,1234.84
SKU00067,Product 67,BrandB,Active,Y,101,1121.84
SKU00068,Product 68,BrandB,Obsolete,Y,85,2401.57
SKU00069,Product 69,BrandD,Active,N,113,1136.77
