item_no,item_description,vendor,item_status,active,quantity,sales_amt
SKU00001,Product 1,BrandD,Discontinued,Y,68,1260.54
SKU00002,Product 2,BrandE,Active,Y,144,3993.68
SKU00003,Product 3,BrandC,Obsolete,Y,142,2369.36
SKU00004,Product 4,BrandE,Active,Y,191,5533.87
SKU00005,Product 5,BrandE,Active,Y,18,336.11
SKU00006,Product 6,BrandB,Active,Y,172,5060.79
SKU00007,Product 7,BrandC,Active,Y,204,1668.79
SKU00008,Product 8,BrandC,Obsolete,Y,97,2694.07
SKU00009,Product 9,BrandC,Active,Y,123,3503.61
SKU00010,Product 10,BrandE,Active,Y,105,3059.96
SKU00011,Product 11,BrandD,Active,Y,32,265.21
SKU00012,Product 12,BrandC,Obsolete,Y,175,2061.05
SKU00013,Product 13,BrandE,Active,Y,73,1633.95
SKU00014,Product 14,BrandB,Active,Y,23,196.89
SKU00015,Product 15,BrandD,Obsolete,Y,168,1579.1
SKU00016,Product 16,BrandB,Active,Y,59,758.96
SKU00017,Product 17,BrandD,Active,Y,147,2833.23
SKU00018,Product 18,BrandE,Obsolete,Y,67,1340.66
SKU00019,Product 19,BrandA,Active,Y,35,306.38
SKU00020,Product 20,BrandD,Active,Y,71,834.11
SKU00021,Product 21,BrandB,Active,Y,83,1576.46
SKU00022,Product 22,BrandE,Active,N,84,1769.6
SKU00023,Product 23,BrandD,Active,Y,150,1689.73
SKU00024,Product 24,BrandA,Active,Y,68,1140.67
SKU00025,Product 25,BrandA,Active,N,68,1896.98
SKU00026,Product 26,BrandC,Discontinued,Y,61,1828.52
SKU00027,Product 27,BrandC,Active,Y,24,713.25
SKU00028,Product 28,BrandB,Active,Y,85,2328.73
SKU00029,Product 29,BrandD,Discontinued,Y,85,1418.01
SKU00030,Product 30,BrandD,Discontinued,Y,72,1663.53
SKU00031,Product 31,BrandC,Active,Y,139,2385.94
SKU00032,Product 32,BrandD,Obsolete,Y,64,1425.13
SKU00033,Product 33,BrandD,Active,Y,105,1554.79
SKU00034,Product 34,BrandA,Active,N,53,1130.83
SKU00035,Product 35,BrandC,Active,Y,43,839.48
SKU00036,Product 36,BrandE,Obsolete,Y,27,230.54
SKU00037,Product 37,BrandC,Obsolete,Y,104,2641.13
SKU00038,Product 38,BrandE,Active,Y,30,247.85
SKU00039,Product 39,BrandA,Obsolete,Y,27,390.13
SKU00040,Product 40,BrandB,Obsolete,Y,83,674.82
SKU00041,Product 41,BrandD,Obsolete,Y,171,2783.27
SKU00042,Product 42,BrandA,Active,Y,37,347.41
SKU00043,Product 43,BrandD,Active,Y,124,3484.06
SKU00044,Product 44,BrandB,Active,Y,201,3446.13
SKU00045,Product 45,BrandB,Active,Y,29,525.16
SKU00046,Product 46,BrandA,Obsolete,Y,48,753.44
SKU00047,Product 47,BrandB,Discontinued,N,79,1722.61
SKU00048,Product 48,BrandE,Active,Y,33,833.48
SKU00049,Product 49,BrandB,Active,Y,85,1892.03
SKU00050,Product 50,BrandD,Active,N,22,538.13
SKU00051,Product 51,BrandD,Active,Y,128,3575.22
SKU00052,Product 52,BrandD,Discontinued,Y,113,3050.78
SKU00053,Product 53,BrandD,Active,Y,203,4634.35
SKU00054,Product 54,BrandE,Active,Y,83,1055.93
SKU00055,Product 55,BrandC,Active,Y,27,594.8
SKU00056,Product 56,BrandA,Active,Y,235,4496.45
SKU00057,Product 57,BrandD,Active,Y,123,2924.8
SKU00058,Product 58,BrandB,Active,Y,54,1421.52
SKU00059,Product 59,BrandD,Active,N,78,1898.51
SKU00060,Product 60,BrandB,Active,Y,97,2582.56
SKU00061,Product 61,BrandB,Active,Y,134,1260.28
SKU00062,Product 62,BrandD,Active,N,39,339.13
SKU00063,Product 63,BrandE,Active,N,190,2600.53
SKU00064,Product 64,BrandB,Active,N,219,6091.41
SKU00065,Product 65,BrandB,Active,Y,231,6033.84
SKU00066,Product 66,BrandD,Discontinued,Y,38,874.76
SKU00067,Product 67,BrandB,Active,Y,103,2411.92
SKU00068,Product 68,BrandB,Obsolete,Y,100,2398.68
SKU00069,Product 69,BrandD,Active,N,116,3333.52
SKU00070,Product 70,BrandD,Active,Y,76,1999.42
SKU00071,Product 71,BrandA,Active,Y,119,2584.04
SKU00072,Product 72,BrandE,Active,N,100,2264.57
SKU00073,Product 73,BrandE,Obsolete,Y,62,787.54
SKU00074,Product 74,BrandB,Active,Y,117,2627.94
SKU00075,Product 75,BrandE,Active,Y,64,1109.95
SKU00076,Product 76,BrandB,Active,Y,83,943.31
SKU00077,Product 77,BrandA,Active,N,193,4967.99
SKU00078,Product 78,BrandD,Active,Y,79,1518.81
SKU00079,Product 79,BrandD,Discontinued,Y,20,590.07
SKU00080,Product 80,BrandD,Active,Y,174,2470.27
SKU00081,Product 81,BrandE,Active,Y,141,2619.04
SKU00082,Product 82,BrandA,Obsolete,N,20,357.12
SKU00083,Product 83,BrandE,Active,N,17,181.17
SKU00084,Product 84,BrandE,Discontinued,Y,171,2971.05
SKU00085,Product 85,BrandA,Active,N,53,759.29
SKU00086,Product 86,BrandA,Active,Y,108,1244.92
SKU00087,Product 87,BrandA,Active,Y,126,1790.14
SKU00088,Product 88,BrandA,Discontinued,Y,171,2245.49
SKU00089,Product 89,BrandD,Active,Y,125,3018.7
SKU00090,Product 90,BrandC,Active,Y,73,633.42
SKU00091,Product 91,BrandC,Active,Y,72,1554.06
SKU00092,Product 92,BrandA,Active,Y,156,3858.59
SKU00093,Product 93,BrandC,Active,Y,19,352.94
SKU00094,Product 94,BrandC,Active,Y,96,2735.47
SKU00095,Product 95,BrandA,Active,Y,344,8109.24
SKU00096,Product 96,BrandC,Obsolete,Y,108,2641.07
SKU00097,Product 97,BrandE,Obsolete,Y,157,1936.21
SKU00098,Product 98,BrandB,Active,Y,176,4417.69
SKU00099,Product 99,BrandB,Active,Y,44,1157.47
SKU00100,Product 100,BrandA,Active,Y,74,1180.14
SKU00101,Product 101,BrandD,Active,Y,152,1929.49
SKU00102,Product 102,BrandA,Active,Y,74,1218.86
SKU00103,Product 103,BrandD,Active,Y,101,2451.41
SKU00104,Product 104,BrandB,Active,Y,37,635.96
SKU00105,Product 105,BrandA,Obsolete,Y,50,1210.32
SKU00106,Product 106,BrandE,Active,Y,162,1700.74
