item_no,item_description,vendor,item_status,active,quantity,sales_amt
SKU00001,Product 1,BrandD,Discontinued,Y,92,2686.09
SKU00002,Product 2,BrandE,Active,Y,105,2942.73
SKU00003,Product 3,BrandC,Obsolete,Y,99,2165.28
SKU00004,Product 4,BrandE,Active,Y,141,2926.61
SKU00005,Product 5,BrandE,Active,Y,19,306.7
SKU00006,Product 6,BrandB,Active,Y,201,1689.09
SKU00007,Product 7,BrandC,Active,Y,149,1610.35
SKU00008,Product 8,BrandC,Obsolete,Y,85,2090.41
SKU00009,Product 9,BrandC,Active,Y,91,1672.02
SKU00010,Product 10,BrandE,Active,Y,89,1005.38
SKU00011,Product 11,BrandD,Active,Y,21,289.95
SKU00012,Product 12,BrandC,Obsolete,Y,156,4500.98
SKU00013,Product 13,BrandE,Active,Y,101,1623.77
SKU00014,Product 14,BrandB,Active,Y,27,755.16
SKU00015,Product 15,BrandD,Obsolete,Y,179,2631.66
SKU00016,Product 16,BrandB,Active,Y,56,1117.25
SKU00017,Product 17,BrandD,Active,Y,87,735.19
SKU00018,Product 18,BrandE,Obsolete,Y,48,935.1
SKU00019,Product 19,BrandA,Active,Y,33,726.42
SKU00020,Product 20,BrandD,Active,Y,78,1026.07
SKU00021,Product 21,BrandB,Active,Y,58,1202.72
SKU00022,Product 22,BrandE,Active,N,97,2157.06
SKU00023,Product 23,BrandD,Active,Y,127,2935.16
SKU00024,Product 24,BrandA,Active,Y,54,1354.37
SKU00025,Product 25,BrandA,Active,N,33,490.03
SKU00026,Product 26,BrandC,Discontinued,Y,54,1106.52
SKU00027,Product 27,BrandC,Active,Y,33,976.63
SKU00028,Product 28,BrandB,Active,Y,71,1970.9
SKU00029,Product 29,BrandD,Discontinued,Y,65,1882.31
SKU00030,Product 30,BrandD,Discontinued,Y,87,1435.07
SKU00031,Product 31,BrandC,Active,Y,95,2404.68
SKU00032,Product 32,BrandD,Obsolete,Y,52,1125.16
SKU00033,Product 33,BrandD,Active,Y,90,883.82
SKU00034,Product 34,BrandA,Active,N,54,1410.89
SKU00035,Product 35,BrandC,Active,Y,36,824.26
SKU00036,Product 36,BrandE,Obsolete,Y,23,284.65
SKU00037,Product 37,BrandC,Obsolete,Y,76,741.32
SKU00038,Product 38,BrandE,Active,Y,31,818.85
SKU00039,Product 39,BrandA,Obsolete,Y,37,360.23
SKU00040,Product 40,BrandB,Obsolete,Y,82,820.8
SKU00041,Product 41,BrandD,Obsolete,Y,138,2401.61
SKU00042,Product 42,BrandA,Active,Y,38,416.69
SKU00043,Product 43,BrandD,Active,Y,90,2529.07
SKU00044,Product 44,BrandB,Active,Y,183,3357.36
SKU00045,Product 45,BrandB,Active,Y,27,554.08
SKU00046,Product 46,BrandA,Obsolete,Y,35,994.64
SKU00047,Product 47,BrandB,Discontinued,N,62,1219.28
SKU00048,Product 48,BrandE,Active,Y,34,536.49
SKU00049,Product 49,BrandB,Active,Y,65,1659.93
SKU00050,Product 50,BrandD,Active,N,13,230.66
SKU00051,Product 51,BrandD,Active,Y,112,1680.71
SKU00052,Product 52,BrandD,Discontinued,Y,71,1697.68
