item_no,item_description,vendor,item_status,active,quantity,sales_amt
SKU00001,Product 1,BrandD,Discontinued,Y,87,1702.92
SKU00002,Product 2,BrandE,Active,Y,115,2841.06
SKU00003,Product 3,BrandC,Obsolete,Y,117,2770.4
SKU00004,Product 4,BrandE,Active,Y,177,2168.17
SKU00005,Product 5,BrandE,Active,Y,19,349.01
SKU00006,Product 6,BrandB,Active,Y,173,3182.39
SKU00007,Product 7,BrandC,Active,Y,144,2350.22
SKU00008,Product 8,BrandC,Obsolete,Y,91,1763.62
SKU00009,Product 9,BrandC,Active,Y,81,1384.16
SKU00010,Product 10,BrandE,Active,Y,83,1028.0
SKU00011,Product 11,BrandD,Active,Y,29,495.09
SKU00012,Product 12,BrandC,Obsolete,Y,127,1217.94
SKU00013,Product 13,BrandE,Active,Y,97,2004.73
SKU00014,Product 14,BrandB,Active,Y,18,482.05
SKU00015,Product 15,BrandD,Obsolete,Y,145,3473.67
SKU00016,Product 16,BrandB,Active,Y,51,812.36
SKU00017,Product 17,BrandD,Active,Y,130,1289.02
SKU00018,Product 18,BrandE,Obsolete,Y,70,871.31
SKU00019,Product 19,BrandA,Active,Y,33,660.03
SKU00020,Product 20,BrandD,Active,Y,97,1217.86
SKU00021,Product 21,BrandB,Active,Y,67,1337.82
SKU00022,Product 22,BrandE,Active,N,64,838.09
SKU00023,Product 23,BrandD,Active,Y,132,3521.27
SKU00024,Product 24,BrandA,Active,Y,75,1255.5
SKU00025,Product 25,BrandA,Active,N,58,777.32
SKU00026,Product 26,BrandC,Discontinued,Y,59,1526.4
SKU00027,Product 27,BrandC,Active,Y,39,606.16
SKU00028,Product 28,BrandB,Active,Y,86,898.93
SKU00029,Product 29,BrandD,Discontinued,Y,66,1356.23
SKU00030,Product 30,BrandD,Discontinued,Y,94,1954.67
SKU00031,Product 31,BrandC,Active,Y,79,1874.14
SKU00032,Product 32,BrandD,Obsolete,Y,52,690.81
SKU00033,Product 33,BrandD,Active,Y,109,1936.16
SKU00034,Product 34,BrandA,Active,N,46,653.76
SKU00035,Product 35,BrandC,Active,Y,36,352.12
SKU00036,Product 36,BrandE,Obsolete,Y,29,791.28
SKU00037,Product 37,BrandC,Obsolete,Y,107,2571.76
SKU00038,Product 38,BrandE,Active,Y,33,482.86
SKU00039,Product 39,BrandA,Obsolete,Y,25,529.66
SKU00040,Product 40,BrandB,Obsolete,Y,76,944.51
SKU00041,Product 41,BrandD,Obsolete,Y,106,2924.03
SKU00042,Product 42,BrandA,Active,Y,38,400.06
SKU00043,Product 43,BrandD,Active,Y,83,671.01
SKU00044,Product 44,BrandB,Active,Y,151,2875.67
SKU00045,Product 45,BrandB,Active,Y,33,687.35
SKU00046,Product 46,BrandA,Obsolete,Y,36,746.54
SKU00047,Product 47,BrandB,Discontinued,N,81,745.14
SKU00048,Product 48,BrandE,Active,Y,23,342.91
SKU00049,Product 49,BrandB,Active,Y,75,1423.68
SKU00050,Product 50,BrandD,Active,N,17,217.0
SKU00051,Product 51,BrandD,Active,Y,107,2910.16
SKU00052,Product 52,BrandD,Discontinued,Y,81,803.23
SKU00053,Product 53,BrandD,Active,Y,134,2508.81
SKU00054,Product 54,BrandE,Active,Y,72,1671.2
SKU00055,Product 55,BrandC,Active,Y,24,330.2
SKU00056,Product 56,BrandA,Active,Y,183,3977.19
SKU00057,Product 57,BrandD,Active,Y,91,2388.43
SKU00058,Product 58,BrandB,Active,Y,45,548.43
SKU00059,Product 59,BrandD,Active,N,59,1662.55
SKU00060,Product 60,BrandB,Active,Y,50,1008.91
SKU00061,Product 61,BrandB,Active,Y,131,1910.39
SKU00062,Product 62,BrandD,Active,N,25,436.97
SKU00063,Product 63,BrandE,Active,N,118,1754.45
SKU00064,Product 64,BrandB,Active,N,236,5652.78
SKU00065,Product 65,BrandB,Active,Y,247,6303.1
SKU00066,Product 66,BrandD,Discontinued,Y,50,1316.23
SKU00067,Product 67,BrandB,Active,Y,80,2374.95
SKU00068,Product 68,BrandB,Obsolete,Y,107,2718.68
SKU00069,Product 69,BrandD,Active,N,105,2229.2
SKU00070,Product 70,BrandD,Active,Y,72,1113.32
SKU00071,Product 71,BrandA,Active,Y,86,1718.37
SKU00072,Product 72,BrandE,Active,N,110,979.38
SKU00073,Product 73,BrandE,Obsolete,Y,54,1316.85
SKU00074,Product 74,BrandB,Active,Y,102,1816.72
SKU00075,Product 75,BrandE,Active,Y,56,472.67
SKU00076,Product 76,BrandB,Active,Y,139,1303.15
SKU00077,Product 77,BrandA,Active,N,181,2990.89
SKU00078,Product 78,BrandD,Active,Y,85,1771.0
SKU00079,Product 79,BrandD,Discontinued,Y,17,309.61
SKU00080,Product 80,BrandD,Active,Y,135,2919.04
SKU00081,Product 81,BrandE,Active,Y,116,2153.71
SKU00082,Product 82,BrandA,Obsolete,N,17,383.48
SKU00083,Product 83,BrandE,Active,N,17,217.95
SKU00084,Product 84,BrandE,Discontinued,Y,157,1645.76
SKU00085,Product 85,BrandA,Active,N,50,1056.08
SKU00086,Product 86,BrandA,Active,Y,81,1511.72
SKU00087,Product 87,BrandA,Active,Y,78,670.1
SKU00088,Product 88,BrandA,Discontinued,Y,134,2193.66
SKU00089,Product 89,BrandD,Active,Y,119,1229.84
SKU00090,Product 90,BrandC,Active,Y,101,1988.67
SKU00091,Product 91,BrandC,Active,Y,61,1019.13
SKU00092,Product 92,BrandA,Active,Y,188,4040.0
